Strain : Tensile strain (Extension) gauge length,100,mm,,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start,High End
0,0,0.23581,5,400,462,483
0.01,0,0.23727,,,,
0.02,0.00008,0.24146,,,,
0.03,0.00036,0.24508,,,,
0.04,0.00108,0.25528,,,,
0.05,0.00245,0.25473,,,,
0.06,0.00383,0.26011,,,,
0.07,0.00509,0.26842,,,,
0.08,0.00645,0.284,,,,
0.09,0.00836,0.29888,,,,
0.1,0.01119,0.31535,,,,
0.11,0.01497,0.33798,,,,
0.12,0.01947,0.36514,,,,
0.13,0.0243,0.39461,,,,
0.14,0.02913,0.42958,,,,
0.15,0.03372,0.46241,,,,
0.16,0.03799,0.49211,,,,
0.17,0.04194,0.51963,,,,
0.18,0.04565,0.54575,,,,
0.19,0.0492,0.57094,,,,
0.2,0.05269,0.59988,,,,
0.21,0.05621,0.62933,,,,
0.22,0.05977,0.6583,,,,
0.23,0.06337,0.6893,,,,
0.24,0.06697,0.72163,,,,
0.25,0.07054,0.75193,,,,
0.26,0.07404,0.78719,,,,
0.27,0.07748,0.81879,,,,
0.28,0.08088,0.84851,,,,
0.29,0.08425,0.88382,,,,
0.3,0.08763,0.91801,,,,
0.31,0.09107,0.95462,,,,
0.32,0.09458,0.98939,,,,
0.33,0.09814,1.02656,,,,
0.34,0.10171,1.06339,,,,
0.35,0.10527,1.10146,,,,
0.36,0.10877,1.14403,,,,
0.37,0.1122,1.18565,,,,
0.38,0.11559,1.22853,,,,
0.39,0.11893,1.26908,,,,
0.4,0.12228,1.30928,,,,
0.41,0.12567,1.35004,,,,
0.42,0.12913,1.39322,,,,
0.43,0.13265,1.44191,,,,
0.44,0.13619,1.49164,,,,
0.45,0.13973,1.54439,,,,
0.46,0.14324,1.59781,,,,
0.47,0.14672,1.64944,,,,
0.48,0.15017,1.69699,,,,
0.49,0.15359,1.74363,,,,
0.5,0.15699,1.79302,,,,
0.51,0.16038,1.8437,,,,
0.52,0.16381,1.89728,,,,
0.53,0.1673,1.95489,,,,
0.54,0.17082,2.01345,,,,
0.55,0.17436,2.07539,,,,
0.56,0.17787,2.13884,,,,
0.57,0.18135,2.19753,,,,
0.58,0.1848,2.25624,,,,
0.59,0.18821,2.31763,,,,
0.6,0.1916,2.38048,,,,
0.61,0.19498,2.44619,,,,
0.62,0.19839,2.51559,,,,
0.63,0.20187,2.58279,,,,
0.64,0.2054,2.65049,,,,
0.65,0.20894,2.72043,,,,
0.66,0.21248,2.79134,,,,
0.67,0.21599,2.86415,,,,
0.68,0.21948,2.93669,,,,
0.69,0.22293,3.00807,,,,
0.7,0.22637,3.08257,,,,
0.71,0.22981,3.15584,,,,
0.72,0.23328,3.22852,,,,
0.73,0.23679,3.30884,,,,
0.74,0.24032,3.39058,,,,
0.75,0.24385,3.47189,,,,
0.76,0.24735,3.55683,,,,
0.77,0.2508,3.64678,,,,
0.78,0.25421,3.73123,,,,
0.79,0.2576,3.81535,,,,
0.8,0.26098,3.90148,,,,
0.81,0.26438,3.98454,,,,
0.82,0.26782,4.07013,,,,
0.83,0.27131,4.16163,,,,
0.84,0.27485,4.25574,,,,
0.85,0.27839,4.34972,,,,
0.86,0.2819,4.44633,,,,
0.87,0.28535,4.54405,,,,
0.88,0.28874,4.63979,,,,
0.89,0.29212,4.73518,,,,
0.9,0.2955,4.83206,,,,
0.91,0.29888,4.92541,,,,
0.92,0.3023,5.02174,,,,
0.93,0.30578,5.12563,,,,
0.94,0.30931,5.23153,,,,
0.95,0.31285,5.34011,,,,
0.96,0.31637,5.45222,,,,
0.97,0.31985,5.56398,,,,
0.98,0.32327,5.676,,,,
0.99,0.32665,5.78779,,,,
1,0.33001,5.90264,,,,
1.01,0.33337,6.01825,,,,
1.02,0.33676,6.13167,,,,
1.03,0.34023,6.25174,,,,
1.04,0.34376,6.37331,,,,
1.05,0.34733,6.49496,,,,
1.06,0.35092,6.61706,,,,
1.07,0.3545,6.74222,,,,
1.08,0.35801,6.86881,,,,
1.09,0.36145,6.99505,,,,
1.1,0.36482,7.11971,,,,
1.11,0.36815,7.24451,,,,
1.12,0.37148,7.37046,,,,
1.13,0.37486,7.50158,,,,
1.14,0.37832,7.63594,,,,
1.15,0.38185,7.77181,,,,
1.16,0.38542,7.9103,,,,
1.17,0.389,8.05219,,,,
1.18,0.39256,8.19343,,,,
1.19,0.39608,8.33329,,,,
1.2,0.39956,8.47317,,,,
1.21,0.40298,8.61002,,,,
1.22,0.40637,8.74702,,,,
1.23,0.40975,8.88887,,,,
1.24,0.41318,9.03415,,,,
1.25,0.41666,9.1867,,,,
1.26,0.42018,9.33997,,,,
1.27,0.42371,9.49363,,,,
1.28,0.42723,9.64655,,,,
1.29,0.43073,9.79652,,,,
1.3,0.4342,9.94384,,,,
1.31,0.43763,10.09384,,,,
1.32,0.44102,10.24842,,,,
1.33,0.44442,10.4064,,,,
1.34,0.44784,10.56709,,,,
1.35,0.4513,10.72806,,,,
1.36,0.45478,10.89417,,,,
1.37,0.45829,11.06233,,,,
1.38,0.4618,11.23275,,,,
1.39,0.4653,11.39862,,,,
1.4,0.46879,11.55896,,,,
1.41,0.47225,11.72026,,,,
1.42,0.47567,11.8863,,,,
1.43,0.4791,12.05546,,,,
1.44,0.48254,12.2277,,,,
1.45,0.486,12.40403,,,,
1.46,0.48948,12.58325,,,,
1.47,0.49295,12.76188,,,,
1.48,0.49641,12.94056,,,,
1.49,0.49984,13.11796,,,,
1.5,0.50325,13.29331,,,,
1.51,0.50665,13.47077,,,,
1.52,0.51005,13.64904,,,,
1.53,0.51347,13.82713,,,,
1.54,0.51693,14.00658,,,,
1.55,0.52044,14.19411,,,,
1.56,0.52398,14.3828,,,,
1.57,0.52751,14.57099,,,,
1.58,0.53101,14.76211,,,,
1.59,0.53447,14.95285,,,,
1.6,0.53789,15.14142,,,,
1.61,0.54129,15.33131,,,,
1.62,0.54467,15.51871,,,,
1.63,0.54805,15.70107,,,,
1.64,0.55147,15.88841,,,,
1.65,0.55497,16.08714,,,,
1.66,0.55854,16.29309,,,,
1.67,0.56214,16.49776,,,,
1.68,0.56571,16.70409,,,,
1.69,0.56921,16.90502,,,,
1.7,0.57264,17.10452,,,,
1.71,0.57604,17.30414,,,,
1.72,0.57943,17.50469,,,,
1.73,0.58281,17.7057,,,,
1.74,0.58622,17.90956,,,,
1.75,0.58968,18.11835,,,,
1.76,0.59321,18.33135,,,,
1.77,0.59678,18.54989,,,,
1.78,0.60036,18.76737,,,,
1.79,0.60391,18.98364,,,,
1.8,0.6074,19.19719,,,,
1.81,0.61083,19.41119,,,,
1.82,0.61421,19.62499,,,,
1.83,0.61756,19.83901,,,,
1.84,0.6209,20.05123,,,,
1.85,0.62427,20.26891,,,,
1.86,0.62772,20.48988,,,,
1.87,0.63124,20.71723,,,,
1.88,0.63481,20.95115,,,,
1.89,0.6384,21.18765,,,,
1.9,0.64197,21.41893,,,,
1.91,0.64548,21.64727,,,,
1.92,0.64892,21.87164,,,,
1.93,0.6523,22.09481,,,,
1.94,0.65563,22.3163,,,,
1.95,0.65897,22.53968,,,,
1.96,0.66234,22.76867,,,,
1.97,0.66579,23.00507,,,,
1.98,0.6693,23.24725,,,,
1.99,0.67283,23.49076,,,,
2,0.67635,23.73204,,,,
2.01,0.67986,23.97126,,,,
2.02,0.68334,24.21312,,,,
2.03,0.68678,24.45344,,,,
2.04,0.69019,24.68759,,,,
2.05,0.69358,24.92586,,,,
2.06,0.69697,25.16966,,,,
2.07,0.70041,25.41911,,,,
2.08,0.7039,25.67516,,,,
2.09,0.7074,25.93431,,,,
2.1,0.7109,26.19183,,,,
2.11,0.71439,26.44663,,,,
2.12,0.71786,26.69791,,,,
2.13,0.7213,26.94499,,,,
2.14,0.72471,27.18914,,,,
2.15,0.72812,27.43479,,,,
2.16,0.73155,27.68579,,,,
2.17,0.73501,27.94425,,,,
2.18,0.7385,28.20692,,,,
2.19,0.742,28.47091,,,,
2.2,0.7455,28.73856,,,,
2.21,0.74898,29.00902,,,,
2.22,0.75242,29.2673,,,,
2.23,0.75586,29.52182,,,,
2.24,0.75928,29.77555,,,,
2.25,0.76271,30.02548,,,,
2.26,0.76617,30.27839,,,,
2.27,0.7697,30.54554,,,,
2.28,0.7733,30.82231,,,,
2.29,0.7769,31.10906,,,,
2.3,0.78048,31.39311,,,,
2.31,0.78398,31.67007,,,,
2.32,0.78742,31.93883,,,,
2.33,0.7908,32.20946,,,,
2.34,0.79415,32.47058,,,,
2.35,0.7975,32.72501,,,,
2.36,0.80089,32.98497,,,,
2.37,0.80435,33.25759,,,,
2.38,0.80788,33.53337,,,,
2.39,0.81147,33.81796,,,,
2.4,0.81504,34.10966,,,,
2.41,0.81856,34.39498,,,,
2.42,0.82201,34.67135,,,,
2.43,0.8254,34.94889,,,,
2.44,0.82877,35.22453,,,,
2.45,0.83212,35.49697,,,,
2.46,0.83549,35.77086,,,,
2.47,0.83891,36.0455,,,,
2.48,0.8424,36.32533,,,,
2.49,0.84595,36.61349,,,,
2.5,0.84953,36.90876,,,,
2.51,0.85309,37.20397,,,,
2.52,0.8566,37.49627,,,,
2.53,0.86003,37.78267,,,,
2.54,0.8634,38.06384,,,,
2.55,0.86673,38.33966,,,,
2.56,0.87005,38.61569,,,,
2.57,0.87341,38.89345,,,,
2.58,0.87683,39.1753,,,,
2.59,0.88035,39.46487,,,,
2.6,0.88392,39.75941,,,,
2.61,0.8875,40.05313,,,,
2.62,0.89106,40.34616,,,,
2.63,0.89457,40.63859,,,,
2.64,0.89803,40.92783,,,,
2.65,0.90143,41.21768,,,,
2.66,0.90478,41.50203,,,,
2.67,0.90813,41.78857,,,,
2.68,0.9115,42.08057,,,,
