Strain : Tensile strain (Extension) gauge length,100,mm,,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start,High End
0,0,0.29286,1278,1610,1735,1835
0.1,0.05445,0.61672,,,,
0.2,0.1648,1.69836,,,,
0.3,0.26875,3.42391,,,,
0.4,0.37283,5.87323,,,,
0.5,0.47613,8.97665,,,,
0.6,0.58017,12.71685,,,,
0.7,0.68354,17.09269,,,,
0.8,0.78747,22.0944,,,,
0.893,0.88371,27.12387,,,,
0.98,0.97412,32.15114,,,,
1.041,1.03713,35.83239,,,,
1.042,1.03817,35.89289,,,,
1.043,1.0392,35.95335,,,,
1.142,1.01679,30.83755,,,,
1.187,0.96634,25.74213,,,,
1.242,0.90811,20.71093,,,,
1.309,0.8377,15.69731,,,,
1.395,0.74877,10.695,,,,
1.495,0.64467,6.431,,,,
1.595,0.54131,3.55983,,,,
1.695,0.43742,1.74187,,,,
1.795,0.33376,0.74767,,,,
1.895,0.23008,0.28611,,,,
1.995,0.12623,0.12182,,,,
2.095,0.02282,0.06209,,,,
2.117,-0.00002,0.05785,,,,
2.118,-0.00106,0.05759,,,,
2.119,-0.00209,0.05727,,,,
2.219,0.02093,0.0915,,,,
2.319,0.13026,0.22413,,,,
2.419,0.23479,0.63188,,,,
2.519,0.33867,1.58782,,,,
2.619,0.44225,3.3525,,,,
2.719,0.54615,6.16635,,,,
2.819,0.64951,10.05571,,,,
2.919,0.75357,15.06602,,,,
3.004,0.84131,20.09736,,,,
3.078,0.91845,25.10676,,,,
3.147,0.9898,30.10756,,,,
3.193,1.03731,33.56446,,,,
3.194,1.03834,33.63991,,,,
3.195,1.03937,33.71547,,,,
3.295,1.01619,29.28179,,,,
3.34,0.96574,24.27304,,,,
3.397,0.9054,19.20968,,,,
3.467,0.83191,14.17933,,,,
3.56,0.73566,9.1392,,,,
3.66,0.63168,5.29043,,,,
3.76,0.52814,2.77218,,,,
3.86,0.42444,1.27621,,,,
3.96,0.32064,0.49812,,,,
4.06,0.21707,0.19089,,,,
4.16,0.11305,0.08157,,,,
4.26,0.00972,0.05032,,,,
4.27,-0.00065,0.04688,,,,
4.271,-0.00169,0.04706,,,,
4.272,-0.00272,0.0473,,,,
4.372,0.02023,0.0836,,,,
4.472,0.12957,0.16784,,,,
4.572,0.23411,0.47148,,,,
4.672,0.33797,1.23583,,,,
4.772,0.44156,2.74949,,,,
4.872,0.54547,5.3201,,,,
4.972,0.64883,8.9997,,,,
5.072,0.75289,13.86422,,,,
5.158,0.84164,18.86459,,,,
5.232,0.9188,23.88169,,,,
5.3,0.98912,28.91762,,,,
5.347,1.03766,32.58193,,,,
5.348,1.0387,32.66163,,,,
5.349,1.03973,32.74129,,,,
5.449,1.01656,28.56138,,,,
5.495,0.96506,23.50152,,,,
5.553,0.90369,18.42884,,,,
5.624,0.82921,13.42877,,,,
5.72,0.7298,8.40749,,,,
5.82,0.62593,4.7592,,,,
5.92,0.52231,2.42824,,,,
6.02,0.41868,1.06259,,,,
6.12,0.3148,0.40429,,,,
6.22,0.21128,0.15217,,,,
6.32,0.1072,0.07599,,,,
6.42,0.0039,0.05002,,,,
6.424,-0.00025,0.05143,,,,
6.425,-0.00129,0.05175,,,,
6.426,-0.00232,0.05203,,,,
6.526,0.0206,0.06912,,,,
6.626,0.12994,0.13911,,,,
6.726,0.2345,0.40553,,,,
6.826,0.33836,1.07785,,,,
6.926,0.44194,2.47124,,,,
7.026,0.54587,4.89547,,,,
7.126,0.64921,8.47471,,,,
7.226,0.75327,13.24127,,,,
7.313,0.84305,18.28389,,,,
7.387,0.92022,23.29149,,,,
7.455,0.99056,28.35196,,,,
7.5,1.03702,31.90889,,,,
7.501,1.03805,31.98972,,,,
7.502,1.03909,32.07047,,,,
7.602,1.01595,28.01663,,,,
7.648,0.96443,22.98341,,,,
7.706,0.90303,17.94674,,,,
7.779,0.82652,12.89078,,,,
7.878,0.72393,7.85683,,,,
7.978,0.62014,4.38594,,,,
8.078,0.51648,2.17776,,,,
8.178,0.41281,0.92968,,,,
8.278,0.30894,0.34348,,,,
8.378,0.20546,0.12987,,,,
8.478,0.10131,0.06557,,,,
8.577,-0.00089,0.04742,,,,
8.578,-0.00193,0.04731,,,,
8.579,-0.00296,0.04718,,,,
8.679,0.01987,0.07812,,,,
8.779,0.12924,0.13055,,,,
8.879,0.23381,0.36114,,,,
8.979,0.33767,0.96842,,,,
9.079,0.44125,2.27748,,,,
9.179,0.54517,4.60692,,,,
9.279,0.64851,8.0766,,,,
9.379,0.75259,12.77921,,,,
9.467,0.84338,17.83535,,,,
9.541,0.92058,22.83946,,,,
9.609,0.9909,27.90865,,,,
9.654,1.03737,31.49251,,,,
9.655,1.0384,31.5736,,,,
9.656,1.03944,31.65482,,,,
9.756,1.01639,27.65803,,,,
9.802,0.9648,22.63627,,,,
9.86,0.9034,17.63287,,,,
9.933,0.82687,12.62442,,,,
10.033,0.72323,7.59925,,,,
10.133,0.61946,4.19082,,,,
10.233,0.51579,2.04883,,,,
10.333,0.41213,0.86074,,,,
10.433,0.30824,0.31664,,,,
10.533,0.20479,0.11958,,,,
10.633,0.10062,0.06244,,,,
10.731,-0.00054,0.04603,,,,
10.732,-0.00158,0.04545,,,,
10.733,-0.00262,0.04482,,,,
10.833,0.02024,0.07304,,,,
10.933,0.12959,0.12664,,,,
11.033,0.23415,0.32055,,,,
11.133,0.33801,0.89539,,,,
11.233,0.44158,2.13805,,,,
11.333,0.54551,4.39288,,,,
11.433,0.64884,7.80243,,,,
11.533,0.75293,12.44911,,,,
11.621,0.84372,17.48135,,,,
11.696,0.92197,22.53746,,,,
11.763,0.99121,27.53842,,,,
11.808,1.03771,31.14116,,,,
11.809,1.03874,31.22262,,,,
11.81,1.03977,31.30406,,,,
11.91,1.01669,27.35307,,,,
11.957,0.96406,22.26145,,,,
12.016,0.90165,17.22639,,,,
12.09,0.82415,12.21023,,,,
12.19,0.72047,7.29594,,,,
12.29,0.61673,3.98552,,,,
12.39,0.51304,1.91771,,,,
12.49,0.40937,0.78259,,,,
12.59,0.30548,0.28756,,,,
12.69,0.20205,0.11006,,,,
12.79,0.09786,0.06176,,,,
12.885,-0.00018,0.04328,,,,
12.886,-0.00122,0.04326,,,,
12.887,-0.00225,0.04327,,,,
12.987,0.0205,0.06654,,,,
13.087,0.1299,0.12071,,,,
13.187,0.23447,0.2964,,,,
13.287,0.33832,0.84006,,,,
13.387,0.44188,2.03464,,,,
13.487,0.54582,4.22678,,,,
13.587,0.64916,7.58132,,,,
13.687,0.75324,12.17858,,,,
13.775,0.84404,17.18513,,,,
13.85,0.92228,22.24097,,,,
13.917,0.99152,27.25449,,,,
13.962,1.03801,30.85656,,,,
13.963,1.03904,30.93868,,,,
13.964,1.04008,31.02093,,,,
14.064,1.01716,27.1292,,,,
14.11,0.9655,22.12477,,,,
14.169,0.90307,17.09091,,,,
14.243,0.82551,12.08339,,,,
14.343,0.72185,7.18601,,,,
14.443,0.61809,3.90952,,,,
14.543,0.51441,1.86221,,,,
14.643,0.41075,0.75772,,,,
14.743,0.30687,0.27171,,,,
14.843,0.20342,0.09651,,,,
14.943,0.09924,0.05642,,,,
15.04,-0.00088,0.04612,,,,
15.041,-0.00192,0.04627,,,,
15.042,-0.00296,0.04646,,,,
15.142,0.0198,0.05438,,,,
15.242,0.12918,0.1103,,,,
15.342,0.23375,0.27328,,,,
15.442,0.33757,0.7837,,,,
15.542,0.44115,1.92699,,,,
15.642,0.5451,4.06421,,,,
15.742,0.64846,7.35778,,,,
15.842,0.75252,11.90436,,,,
15.931,0.84437,16.94811,,,,
16.006,0.92259,21.99238,,,,
16.073,0.99182,26.99697,,,,
16.117,1.03727,30.52963,,,,
16.118,1.03831,30.61177,,,,
16.119,1.03934,30.69401,,,,
16.219,1.01626,26.82454,,,,
16.266,0.96365,21.75536,,,,
16.326,0.90021,16.69332,,,,
16.402,0.82066,11.64193,,,,
16.502,0.71696,6.86985,,,,
16.602,0.61325,3.69226,,,,
16.702,0.5095,1.73526,,,,
16.802,0.40589,0.69094,,,,
16.902,0.30191,0.24922,,,,
17.002,0.19854,0.10154,,,,
17.102,0.09434,0.05992,,,,
17.194,-0.00059,0.03972,,,,
17.195,-0.00162,0.03938,,,,
17.196,-0.00266,0.039,,,,
17.296,0.01997,0.06423,,,,
17.396,0.12943,0.11542,,,,
17.496,0.23401,0.26515,,,,
17.596,0.33782,0.74677,,,,
17.696,0.4414,1.85623,,,,
17.796,0.54535,3.94739,,,,
17.896,0.64871,7.20317,,,,
17.996,0.75276,11.72508,,,,
18.085,0.84462,16.74297,,,,
18.16,0.92285,21.77495,,,,
18.227,0.99206,26.77786,,,,
18.271,1.03751,30.32038,,,,
18.272,1.03855,30.40255,,,,
18.273,1.03958,30.48474,,,,
18.373,1.01662,26.63817,,,,
18.42,0.96395,21.58376,,,,
18.48,0.9005,16.53002,,,,
18.556,0.82094,11.50784,,,,
18.656,0.71723,6.75816,,,,
18.756,0.61351,3.6118,,,,
18.856,0.50978,1.68014,,,,
18.956,0.40618,0.66254,,,,
19.056,0.30218,0.23498,,,,
19.156,0.19881,0.08979,,,,
19.256,0.09464,0.05333,,,,
19.348,-0.0003,0.03847,,,,
19.349,-0.00134,0.03777,,,,
19.35,-0.00237,0.03717,,,,
19.45,0.02022,0.07053,,,,
19.55,0.12968,0.10212,,,,
19.65,0.23426,0.24882,,,,
19.75,0.33804,0.72595,,,,
19.85,0.44163,1.79714,,,,
19.95,0.54559,3.84931,,,,
20.05,0.64894,7.06993,,,,
20.15,0.75301,11.56026,,,,
20.239,0.84486,16.56702,,,,
20.314,0.92308,21.57937,,,,
20.381,0.99228,26.59499,,,,
20.425,1.03774,30.12621,,,,
