Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.31088"
"0.10000","0.00937","0.34447"
"0.20000","0.04464","0.46735"
"0.30000","0.07641","0.60344"
"0.40000","0.10771","0.75107"
"0.50000","0.13887","0.93541"
"0.60000","0.17022","1.15833"
"0.70000","0.20151","1.44097"
"0.80000","0.23274","1.76487"
"0.90000","0.26367","2.13464"
"1.00000","0.29453","2.58362"
"1.10000","0.32567","3.08698"
"1.20000","0.35712","3.69221"
"1.30000","0.38813","4.35382"
"1.40000","0.41922","5.11530"
"1.50000","0.45045","5.98286"
"1.60000","0.48167","6.96380"
"1.70000","0.51273","8.03336"
"1.80000","0.54390","9.21826"
"1.90000","0.57496","10.50558"
"2.00000","0.60616","11.91786"
"2.10000","0.63709","13.45875"
"2.20000","0.66823","15.12716"
"2.30000","0.69962","16.91413"
"2.40000","0.73109","18.83556"
"2.50000","0.76193","20.86511"
"2.60000","0.79284","22.98728"
"2.70000","0.82394","25.22002"
"2.80000","0.85507","27.58791"
"2.90000","0.88620","30.06148"
"3.00000","0.91767","32.65871"
"3.10000","0.94887","35.30827"
"3.20000","0.98002","38.06059"
"3.30000","1.01086","40.84544"
"3.40000","1.04183","43.70059"
"3.50000","1.07305","46.67797"
"3.55400","1.09019","48.37321"
"3.55500","1.09050","48.40381"
"3.55600","1.09082","48.43443"
"3.65600","1.10093","48.45837"
"3.75600","1.09845","47.50261"
"3.85600","1.09776","46.84107"
"3.95600","1.09743","46.33934"
"4.05600","1.09725","45.91972"
"4.15600","1.09715","45.57450"
"4.25600","1.09706","45.27152"
"4.35600","1.09706","44.99315"
"4.45600","1.09706","44.75180"
"4.55600","1.09706","44.54534"
"4.65600","1.09706","44.34604"
"4.75600","1.09706","44.14304"
"4.85600","1.09706","43.97448"
"4.95600","1.09706","43.80860"
"5.05600","1.09706","43.65827"
"5.15600","1.09706","43.51061"
"5.25600","1.09706","43.36367"
"5.35600","1.09706","43.23232"
"5.45600","1.09706","43.11737"
"5.55600","1.09706","42.99363"
"5.65600","1.09706","42.88152"
"5.75600","1.09703","42.77784"
"5.85600","1.09697","42.65933"
"5.95600","1.09697","42.55859"
"6.05600","1.09697","42.45659"
"6.15600","1.09697","42.36531"
"6.25600","1.09697","42.26489"
"6.35600","1.09697","42.18314"
"6.45600","1.09697","42.10652"
"6.55600","1.09697","42.02572"
"6.65600","1.09697","41.93536"
"6.75600","1.09697","41.86728"
"6.85600","1.09697","41.79263"
"6.95600","1.09697","41.72033"
"7.05600","1.09697","41.64636"
"7.15600","1.09697","41.57323"
"7.25600","1.09697","41.50990"
"7.35600","1.09697","41.43172"
"7.45600","1.09697","41.36921"
"7.55600","1.09697","41.31121"
"7.65600","1.09697","41.24866"
"7.75600","1.09697","41.18580"
"7.85600","1.09697","41.12401"
"7.95600","1.09697","41.07784"
"8.05600","1.09697","41.00367"
"8.15600","1.09697","40.95089"
"8.25600","1.09697","40.90783"
"8.35600","1.09697","40.84721"
"8.45600","1.09697","40.79937"
"8.55600","1.09697","40.73798"
"8.65600","1.09697","40.69338"
"8.75600","1.09697","40.63424"
"8.85600","1.09697","40.59234"
"8.95600","1.09697","40.54094"
"9.05600","1.09697","40.49589"
"9.15600","1.09697","40.44859"
"9.25600","1.09697","40.40447"
"9.35600","1.09697","40.36287"
"9.45600","1.09697","40.32318"
"9.55600","1.09697","40.27818"
"9.65600","1.09697","40.22893"
"9.75600","1.09697","40.18298"
"9.85600","1.09697","40.14254"
"9.95600","1.09697","40.09733"
"10.05600","1.09697","40.05568"
"10.15600","1.09697","40.02182"
"10.25600","1.09697","39.98230"
"10.35600","1.09697","39.94333"
"10.45600","1.09697","39.91645"
"10.55600","1.09697","39.86732"
"10.65600","1.09697","39.83347"
"10.75600","1.09697","39.79487"
"10.85600","1.09697","39.75255"
"10.95600","1.09697","39.73232"
"11.05600","1.09697","39.68689"
"11.15600","1.09697","39.65957"
"11.25600","1.09697","39.61210"
"11.35600","1.09697","39.58922"
"11.45600","1.09697","39.55051"
"11.55600","1.09697","39.51530"
"11.65600","1.09697","39.48893"
"11.75600","1.09697","39.45617"
"11.85600","1.09697","39.41954"
"11.95600","1.09697","39.38983"
"12.05600","1.09697","39.35643"
"12.15600","1.09697","39.33063"
"12.25600","1.09697","39.29205"
"12.35600","1.09697","39.26122"
"12.45600","1.09697","39.23744"
"12.55600","1.09697","39.20667"
"12.65600","1.09697","39.17271"
"12.75600","1.09697","39.14224"
"12.85600","1.09697","39.11452"
"12.95600","1.09697","39.08995"
"13.05600","1.09697","39.05545"
"13.15600","1.09697","39.03312"
"13.25600","1.09697","39.00573"
"13.35600","1.09697","38.98627"
"13.45600","1.09697","38.95272"
"13.55600","1.09697","38.93132"
"13.65600","1.09697","38.90253"
"13.75600","1.09697","38.86497"
"13.85600","1.09697","38.83767"
"13.95600","1.09697","38.81158"
"14.05600","1.09697","38.78256"
"14.15600","1.09697","38.75731"
"14.25600","1.09697","38.73427"
"14.35600","1.09697","38.71980"
"14.45600","1.09697","38.68813"
"14.55600","1.09697","38.67695"
"14.65600","1.09697","38.64494"
"14.75600","1.09697","38.62199"
"14.85600","1.09697","38.59761"
"14.95600","1.09697","38.56832"
"15.05600","1.09697","38.54649"
"15.15600","1.09697","38.52087"
"15.25600","1.09697","38.49421"
"15.35600","1.09697","38.47622"
"15.45600","1.09697","38.44356"
"15.55600","1.09697","38.42015"
"15.65600","1.09697","38.40456"
"15.75600","1.09697","38.37704"
"15.85600","1.09697","38.34645"
"15.95600","1.09697","38.32629"
"16.05600","1.09697","38.30227"
"16.15600","1.09697","38.28265"
"16.25600","1.09697","38.25711"
"16.35600","1.09697","38.22860"
"16.45600","1.09697","38.20995"
"16.55600","1.09697","38.19144"
"16.65600","1.09697","38.16555"
"16.75600","1.09697","38.15285"
"16.85600","1.09697","38.12934"
"16.95600","1.09697","38.10999"
"17.05600","1.09697","38.07869"
"17.15600","1.09697","38.06593"
"17.25600","1.09697","38.05428"
"17.35600","1.09697","38.03202"
"17.45600","1.09697","37.99526"
"17.55600","1.09697","37.98728"
"17.65600","1.09697","37.96402"
"17.75600","1.09697","37.95233"
"17.85600","1.09697","37.93213"
"17.95600","1.09697","37.90919"
"18.05600","1.09697","37.88786"
"18.15600","1.09697","37.87601"
"18.25600","1.09697","37.85584"
"18.35600","1.09697","37.83157"
"18.45600","1.09697","37.81100"
"18.55600","1.09697","37.79413"
"18.65600","1.09697","37.76765"
"18.75600","1.09697","37.75850"
"18.85600","1.09697","37.73564"
"18.95600","1.09697","37.71618"
"19.05600","1.09697","37.70488"
"19.15600","1.09697","37.68961"
"19.25600","1.09697","37.66467"
"19.35600","1.09697","37.64633"
"19.45600","1.09697","37.63305"
"19.55600","1.09697","37.61254"
"19.65600","1.09697","37.60006"
"19.75600","1.09697","37.58351"
"19.85600","1.09697","37.56710"
"19.95600","1.09697","37.54022"
"20.05600","1.09697","37.53489"
"20.15600","1.09697","37.49702"
"20.25600","1.09697","37.48272"
"20.35600","1.09697","37.48256"
"20.45600","1.09697","37.45892"
"20.55600","1.09697","37.44332"
"20.65600","1.09697","37.42693"
"20.75600","1.09697","37.41148"
"20.85600","1.09697","37.39461"
"20.95600","1.09697","37.37401"
"21.05600","1.09697","37.36705"
"21.15600","1.09697","37.34668"
"21.25600","1.09697","37.32880"
"21.35600","1.09697","37.31372"
"21.45600","1.09697","37.29679"
"21.55600","1.09697","37.27768"
"21.65600","1.09697","37.26686"
"21.75600","1.09697","37.25200"
"21.85600","1.09697","37.23174"
"21.95600","1.09697","37.22550"
"22.05600","1.09697","37.20098"
"22.15600","1.09697","37.19029"
"22.25600","1.09697","37.17793"
"22.35600","1.09697","37.16137"
"22.45600","1.09697","37.13790"
"22.55600","1.09697","37.13508"
"22.65600","1.09697","37.11132"
"22.75600","1.09697","37.10464"
"22.85600","1.09697","37.08414"
"22.95600","1.09697","37.07815"
"23.05600","1.09697","37.04856"
"23.15600","1.09697","37.04796"
"23.25600","1.09697","37.02539"
"23.35600","1.09697","37.02197"
"23.45600","1.09697","37.00140"
"23.55500","1.09697","36.99242"
"23.55600","1.09697","36.99211"
"23.58600","1.09697","36.99356"
"23.68600","1.08366","35.39160"
"23.78300","1.04986","30.38811"
"23.88300","1.01838","26.30979"
"23.98300","0.98709","22.73158"
"24.08300","0.95561","19.51786"
"24.18300","0.92441","16.69875"
"24.28300","0.89315","14.18484"
"24.38300","0.86235","11.96934"
"24.48300","0.83125","9.99041"
"24.58300","0.79999","8.24357"
"24.68300","0.76877","6.73055"
"24.78300","0.73766","5.43502"
"24.88300","0.70628","4.32237"
"24.98300","0.67509","3.38004"
"25.08300","0.64432","2.62180"
"25.18300","0.61331","2.01582"
"25.28300","0.58204","1.52683"
"25.38300","0.55071","1.13975"
"25.48300","0.51949","0.85293"
"25.58300","0.48855","0.63127"
"25.68300","0.45750","0.47301"
"25.78300","0.42610","0.35500"
"25.88300","0.39514","0.27378"
"25.98300","0.36413","0.22074"
"26.08300","0.33277","0.18264"
"26.18300","0.30164","0.15965"
"26.28300","0.27067","0.12211"
"26.38300","0.23960","0.11676"
"26.48300","0.20809","0.10120"
"26.58300","0.17692","0.09266"
"26.68300","0.14584","0.08353"
"26.78300","0.11502","0.07319"
"26.88300","0.08389","0.06957"
"26.98300","0.05260","0.06633"
"27.08300","0.02149","0.06532"
"27.13000","0.00682","0.04917"
"27.13100","0.00651","0.04890"
"27.13200","0.00619","0.04887"
"27.23200","0.00663","0.06827"
"27.33200","0.04080","0.07949"
"27.43200","0.07290","0.09402"
"27.53200","0.10426","0.10887"
"27.63200","0.13541","0.13136"
"27.73200","0.16694","0.14336"
