Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.23581"
"0.01000","0.00000","0.23727"
"0.02000","0.00008","0.24146"
"0.03000","0.00036","0.24508"
"0.04000","0.00108","0.25528"
"0.05000","0.00245","0.25473"
"0.06000","0.00383","0.26011"
"0.07000","0.00509","0.26842"
"0.08000","0.00645","0.28400"
"0.09000","0.00836","0.29888"
"0.10000","0.01119","0.31535"
"0.11000","0.01497","0.33798"
"0.12000","0.01947","0.36514"
"0.13000","0.02430","0.39461"
"0.14000","0.02913","0.42958"
"0.15000","0.03372","0.46241"
"0.16000","0.03799","0.49211"
"0.17000","0.04194","0.51963"
"0.18000","0.04565","0.54575"
"0.19000","0.04920","0.57094"
"0.20000","0.05269","0.59988"
"0.21000","0.05621","0.62933"
"0.22000","0.05977","0.65830"
"0.23000","0.06337","0.68930"
"0.24000","0.06697","0.72163"
"0.25000","0.07054","0.75193"
"0.26000","0.07404","0.78719"
"0.27000","0.07748","0.81879"
"0.28000","0.08088","0.84851"
"0.29000","0.08425","0.88382"
"0.30000","0.08763","0.91801"
"0.31000","0.09107","0.95462"
"0.32000","0.09458","0.98939"
"0.33000","0.09814","1.02656"
"0.34000","0.10171","1.06339"
"0.35000","0.10527","1.10146"
"0.36000","0.10877","1.14403"
"0.37000","0.11220","1.18565"
"0.38000","0.11559","1.22853"
"0.39000","0.11893","1.26908"
"0.40000","0.12228","1.30928"
"0.41000","0.12567","1.35004"
"0.42000","0.12913","1.39322"
"0.43000","0.13265","1.44191"
"0.44000","0.13619","1.49164"
"0.45000","0.13973","1.54439"
"0.46000","0.14324","1.59781"
"0.47000","0.14672","1.64944"
"0.48000","0.15017","1.69699"
"0.49000","0.15359","1.74363"
"0.50000","0.15699","1.79302"
"0.51000","0.16038","1.84370"
"0.52000","0.16381","1.89728"
"0.53000","0.16730","1.95489"
"0.54000","0.17082","2.01345"
"0.55000","0.17436","2.07539"
"0.56000","0.17787","2.13884"
"0.57000","0.18135","2.19753"
"0.58000","0.18480","2.25624"
"0.59000","0.18821","2.31763"
"0.60000","0.19160","2.38048"
"0.61000","0.19498","2.44619"
"0.62000","0.19839","2.51559"
"0.63000","0.20187","2.58279"
"0.64000","0.20540","2.65049"
"0.65000","0.20894","2.72043"
"0.66000","0.21248","2.79134"
"0.67000","0.21599","2.86415"
"0.68000","0.21948","2.93669"
"0.69000","0.22293","3.00807"
"0.70000","0.22637","3.08257"
"0.71000","0.22981","3.15584"
"0.72000","0.23328","3.22852"
"0.73000","0.23679","3.30884"
"0.74000","0.24032","3.39058"
"0.75000","0.24385","3.47189"
"0.76000","0.24735","3.55683"
"0.77000","0.25080","3.64678"
"0.78000","0.25421","3.73123"
"0.79000","0.25760","3.81535"
"0.80000","0.26098","3.90148"
"0.81000","0.26438","3.98454"
"0.82000","0.26782","4.07013"
"0.83000","0.27131","4.16163"
"0.84000","0.27485","4.25574"
"0.85000","0.27839","4.34972"
"0.86000","0.28190","4.44633"
"0.87000","0.28535","4.54405"
"0.88000","0.28874","4.63979"
"0.89000","0.29212","4.73518"
"0.90000","0.29550","4.83206"
"0.91000","0.29888","4.92541"
"0.92000","0.30230","5.02174"
"0.93000","0.30578","5.12563"
"0.94000","0.30931","5.23153"
"0.95000","0.31285","5.34011"
"0.96000","0.31637","5.45222"
"0.97000","0.31985","5.56398"
"0.98000","0.32327","5.67600"
"0.99000","0.32665","5.78779"
"1.00000","0.33001","5.90264"
"1.01000","0.33337","6.01825"
"1.02000","0.33676","6.13167"
"1.03000","0.34023","6.25174"
"1.04000","0.34376","6.37331"
"1.05000","0.34733","6.49496"
"1.06000","0.35092","6.61706"
"1.07000","0.35450","6.74222"
"1.08000","0.35801","6.86881"
"1.09000","0.36145","6.99505"
"1.10000","0.36482","7.11971"
"1.11000","0.36815","7.24451"
"1.12000","0.37148","7.37046"
"1.13000","0.37486","7.50158"
"1.14000","0.37832","7.63594"
"1.15000","0.38185","7.77181"
"1.16000","0.38542","7.91030"
"1.17000","0.38900","8.05219"
"1.18000","0.39256","8.19343"
"1.19000","0.39608","8.33329"
"1.20000","0.39956","8.47317"
"1.21000","0.40298","8.61002"
"1.22000","0.40637","8.74702"
"1.23000","0.40975","8.88887"
"1.24000","0.41318","9.03415"
"1.25000","0.41666","9.18670"
"1.26000","0.42018","9.33997"
"1.27000","0.42371","9.49363"
"1.28000","0.42723","9.64655"
"1.29000","0.43073","9.79652"
"1.30000","0.43420","9.94384"
"1.31000","0.43763","10.09384"
"1.32000","0.44102","10.24842"
"1.33000","0.44442","10.40640"
"1.34000","0.44784","10.56709"
"1.35000","0.45130","10.72806"
"1.36000","0.45478","10.89417"
"1.37000","0.45829","11.06233"
"1.38000","0.46180","11.23275"
"1.39000","0.46530","11.39862"
"1.40000","0.46879","11.55896"
"1.41000","0.47225","11.72026"
"1.42000","0.47567","11.88630"
"1.43000","0.47910","12.05546"
"1.44000","0.48254","12.22770"
"1.45000","0.48600","12.40403"
"1.46000","0.48948","12.58325"
"1.47000","0.49295","12.76188"
"1.48000","0.49641","12.94056"
"1.49000","0.49984","13.11796"
"1.50000","0.50325","13.29331"
"1.51000","0.50665","13.47077"
"1.52000","0.51005","13.64904"
"1.53000","0.51347","13.82713"
"1.54000","0.51693","14.00658"
"1.55000","0.52044","14.19411"
"1.56000","0.52398","14.38280"
"1.57000","0.52751","14.57099"
"1.58000","0.53101","14.76211"
"1.59000","0.53447","14.95285"
"1.60000","0.53789","15.14142"
"1.61000","0.54129","15.33131"
"1.62000","0.54467","15.51871"
"1.63000","0.54805","15.70107"
"1.64000","0.55147","15.88841"
"1.65000","0.55497","16.08714"
"1.66000","0.55854","16.29309"
"1.67000","0.56214","16.49776"
"1.68000","0.56571","16.70409"
"1.69000","0.56921","16.90502"
"1.70000","0.57264","17.10452"
"1.71000","0.57604","17.30414"
"1.72000","0.57943","17.50469"
"1.73000","0.58281","17.70570"
"1.74000","0.58622","17.90956"
"1.75000","0.58968","18.11835"
"1.76000","0.59321","18.33135"
"1.77000","0.59678","18.54989"
"1.78000","0.60036","18.76737"
"1.79000","0.60391","18.98364"
"1.80000","0.60740","19.19719"
"1.81000","0.61083","19.41119"
"1.82000","0.61421","19.62499"
"1.83000","0.61756","19.83901"
"1.84000","0.62090","20.05123"
"1.85000","0.62427","20.26891"
"1.86000","0.62772","20.48988"
"1.87000","0.63124","20.71723"
"1.88000","0.63481","20.95115"
"1.89000","0.63840","21.18765"
"1.90000","0.64197","21.41893"
"1.91000","0.64548","21.64727"
"1.92000","0.64892","21.87164"
"1.93000","0.65230","22.09481"
"1.94000","0.65563","22.31630"
"1.95000","0.65897","22.53968"
"1.96000","0.66234","22.76867"
"1.97000","0.66579","23.00507"
"1.98000","0.66930","23.24725"
"1.99000","0.67283","23.49076"
"2.00000","0.67635","23.73204"
"2.01000","0.67986","23.97126"
"2.02000","0.68334","24.21312"
"2.03000","0.68678","24.45344"
"2.04000","0.69019","24.68759"
"2.05000","0.69358","24.92586"
"2.06000","0.69697","25.16966"
"2.07000","0.70041","25.41911"
"2.08000","0.70390","25.67516"
"2.09000","0.70740","25.93431"
"2.10000","0.71090","26.19183"
"2.11000","0.71439","26.44663"
"2.12000","0.71786","26.69791"
"2.13000","0.72130","26.94499"
"2.14000","0.72471","27.18914"
"2.15000","0.72812","27.43479"
"2.16000","0.73155","27.68579"
"2.17000","0.73501","27.94425"
"2.18000","0.73850","28.20692"
"2.19000","0.74200","28.47091"
"2.20000","0.74550","28.73856"
"2.21000","0.74898","29.00902"
"2.22000","0.75242","29.26730"
"2.23000","0.75586","29.52182"
"2.24000","0.75928","29.77555"
"2.25000","0.76271","30.02548"
"2.26000","0.76617","30.27839"
"2.27000","0.76970","30.54554"
"2.28000","0.77330","30.82231"
"2.29000","0.77690","31.10906"
"2.30000","0.78048","31.39311"
"2.31000","0.78398","31.67007"
"2.32000","0.78742","31.93883"
"2.33000","0.79080","32.20946"
"2.34000","0.79415","32.47058"
"2.35000","0.79750","32.72501"
"2.36000","0.80089","32.98497"
"2.37000","0.80435","33.25759"
"2.38000","0.80788","33.53337"
"2.39000","0.81147","33.81796"
"2.40000","0.81504","34.10966"
"2.41000","0.81856","34.39498"
"2.42000","0.82201","34.67135"
"2.43000","0.82540","34.94889"
"2.44000","0.82877","35.22453"
"2.45000","0.83212","35.49697"
"2.46000","0.83549","35.77086"
"2.47000","0.83891","36.04550"
"2.48000","0.84240","36.32533"
"2.49000","0.84595","36.61349"
"2.50000","0.84953","36.90876"
"2.51000","0.85309","37.20397"
"2.52000","0.85660","37.49627"
"2.53000","0.86003","37.78267"
"2.54000","0.86340","38.06384"
"2.55000","0.86673","38.33966"
"2.56000","0.87005","38.61569"
"2.57000","0.87341","38.89345"
"2.58000","0.87683","39.17530"
"2.59000","0.88035","39.46487"
"2.60000","0.88392","39.75941"
"2.61000","0.88750","40.05313"
"2.62000","0.89106","40.34616"
"2.63000","0.89457","40.63859"
"2.64000","0.89803","40.92783"
"2.65000","0.90143","41.21768"
"2.66000","0.90478","41.50203"
"2.67000","0.90813","41.78857"
"2.68000","0.91150","42.08057"
"2.69000","0.91493","42.37701"
"2.70000","0.91842","42.67934"
"2.71000","0.92196","42.98535"
"2.72000","0.92549","43.28960"
"2.73000","0.92901","43.59081"
"2.74000","0.93249","43.88948"
"2.75000","0.93593","44.18242"
"2.76000","0.93934","44.47178"
"2.77000","0.94273","44.76958"
"2.78000","0.94614","45.07813"
"2.79000","0.94960","45.38681"
"2.80000","0.95312","45.69854"
"2.81000","0.95668","46.01773"
"2.82000","0.96024","46.33501"
"2.83000","0.96377","46.64552"
"2.84000","0.96727","46.95421"
