Strain : Tensile strain (Extension) gauge length,100,mm,Sample 24,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start,High End
0,0,0.21669,853,1116,1309,1392
0.1,0.01324,0.24629,,,,
0.2,0.05797,0.34451,,,,
0.3,0.09703,0.47904,,,,
0.4,0.13575,0.67654,,,,
0.5,0.17432,0.95259,,,,
0.6,0.21323,1.33151,,,,
0.7,0.25184,1.81369,,,,
0.8,0.29037,2.41763,,,,
0.9,0.32905,3.14998,,,,
1,0.36772,4.02136,,,,
1.1,0.40658,5.04501,,,,
1.2,0.44521,6.21269,,,,
1.3,0.48374,7.53633,,,,
1.4,0.52232,9.00781,,,,
1.5,0.56106,10.63227,,,,
1.6,0.59979,12.40842,,,,
1.7,0.63842,14.30759,,,,
1.8,0.67686,16.3386,,,,
1.9,0.71552,18.50493,,,,
2,0.75435,20.80752,,,,
2.1,0.79313,23.23083,,,,
2.2,0.8317,25.75628,,,,
2.3,0.87029,28.32187,,,,
2.4,0.90891,30.9798,,,,
2.5,0.94784,33.77765,,,,
2.6,0.98644,36.6052,,,,
2.7,1.02499,39.4762,,,,
2.8,1.06342,42.40112,,,,
2.9,1.10206,45.39906,,,,
3,1.14104,48.45519,,,,
3.1,1.17964,51.48871,,,,
3.2,1.21829,54.52356,,,,
3.3,1.25685,57.54537,,,,
3.4,1.29554,60.58387,,,,
3.5,1.33455,63.62589,,,,
3.549,1.35314,65.02096,,,,
3.55,1.35351,65.04991,,,,
3.551,1.3539,65.07907,,,,
3.651,1.36653,64.70937,,,,
3.751,1.36433,63.28901,,,,
3.851,1.36292,62.30878,,,,
3.951,1.36224,61.59132,,,,
4.051,1.362,61.01961,,,,
4.151,1.3619,60.54046,,,,
4.251,1.36191,60.1341,,,,
4.351,1.36182,59.76407,,,,
4.451,1.36181,59.44606,,,,
4.551,1.36181,59.1389,,,,
4.651,1.36181,58.8581,,,,
4.751,1.36181,58.61075,,,,
4.851,1.36181,58.37693,,,,
4.951,1.36181,58.1539,,,,
5.051,1.36181,57.94368,,,,
5.151,1.36181,57.75598,,,,
5.251,1.36181,57.55898,,,,
5.351,1.36181,57.3945,,,,
5.451,1.36181,57.22566,,,,
5.551,1.36181,57.06696,,,,
5.651,1.36181,56.91494,,,,
5.751,1.36181,56.77018,,,,
5.851,1.36181,56.62854,,,,
5.951,1.36181,56.50099,,,,
6.051,1.36181,56.37125,,,,
6.151,1.36181,56.24038,,,,
6.251,1.36181,56.1194,,,,
6.351,1.36181,56.00405,,,,
6.451,1.36181,55.88976,,,,
6.551,1.36181,55.78362,,,,
6.651,1.36181,55.67431,,,,
6.751,1.36181,55.57393,,,,
6.851,1.36181,55.47359,,,,
6.951,1.36172,55.37328,,,,
7.051,1.36172,55.27828,,,,
7.151,1.36178,55.1883,,,,
7.251,1.36179,55.10332,,,,
7.351,1.36181,55.0113,,,,
7.451,1.36181,54.93404,,,,
7.551,1.36181,54.8439,,,,
7.651,1.36181,54.75774,,,,
7.751,1.36181,54.68988,,,,
7.851,1.36181,54.6004,,,,
7.951,1.36181,54.51934,,,,
8.051,1.36181,54.45058,,,,
8.151,1.36181,54.38282,,,,
8.251,1.36181,54.31436,,,,
8.351,1.36181,54.24723,,,,
8.451,1.36181,54.16917,,,,
8.551,1.36181,54.1095,,,,
8.651,1.36181,54.04372,,,,
8.751,1.36181,53.98551,,,,
8.851,1.36181,53.90509,,,,
8.951,1.36181,53.85692,,,,
9.051,1.36181,53.77998,,,,
9.151,1.36181,53.73029,,,,
9.251,1.36181,53.66655,,,,
9.351,1.36181,53.60226,,,,
9.451,1.36181,53.54479,,,,
9.551,1.36181,53.49587,,,,
9.651,1.36181,53.44239,,,,
9.751,1.36181,53.3872,,,,
9.851,1.36181,53.33691,,,,
9.951,1.36181,53.27378,,,,
10.051,1.36181,53.23266,,,,
10.151,1.36181,53.17681,,,,
10.251,1.36181,53.13058,,,,
10.351,1.36181,53.0749,,,,
10.451,1.36181,53.02616,,,,
10.551,1.36181,52.97871,,,,
10.651,1.36181,52.93081,,,,
10.751,1.36181,52.88087,,,,
10.851,1.36181,52.83647,,,,
10.951,1.36181,52.78948,,,,
11.051,1.36181,52.73722,,,,
11.151,1.36181,52.69719,,,,
11.251,1.36181,52.65662,,,,
11.351,1.36181,52.61012,,,,
11.451,1.36181,52.56297,,,,
11.551,1.36181,52.51938,,,,
11.651,1.36181,52.47801,,,,
11.751,1.36181,52.43862,,,,
11.851,1.36181,52.40378,,,,
11.951,1.36181,52.34732,,,,
12.051,1.36181,52.31702,,,,
12.151,1.36181,52.27202,,,,
12.251,1.36181,52.23801,,,,
12.351,1.36181,52.2024,,,,
12.451,1.36181,52.16368,,,,
12.551,1.36181,52.1305,,,,
12.651,1.36181,52.08826,,,,
12.751,1.36181,52.04797,,,,
12.851,1.36181,52.01005,,,,
12.951,1.36181,51.97046,,,,
13.051,1.36181,51.9416,,,,
13.151,1.36181,51.90287,,,,
13.251,1.36181,51.86378,,,,
13.351,1.36181,51.82882,,,,
13.451,1.36181,51.79556,,,,
13.551,1.36181,51.76089,,,,
13.651,1.36181,51.7328,,,,
13.751,1.36181,51.69136,,,,
13.851,1.36181,51.65354,,,,
13.951,1.36181,51.62809,,,,
14.051,1.36181,51.58629,,,,
14.151,1.36181,51.56106,,,,
14.251,1.36181,51.52876,,,,
14.351,1.36181,51.49796,,,,
14.451,1.36181,51.46151,,,,
14.551,1.36181,51.44079,,,,
14.651,1.36181,51.40295,,,,
14.751,1.36181,51.37201,,,,
14.851,1.36181,51.3426,,,,
14.951,1.36181,51.30737,,,,
15.051,1.36181,51.28447,,,,
15.151,1.36181,51.24922,,,,
15.251,1.36181,51.22172,,,,
15.351,1.36181,51.20047,,,,
15.451,1.36181,51.16908,,,,
15.551,1.36181,51.13639,,,,
15.651,1.36181,51.11304,,,,
15.751,1.36181,51.06989,,,,
15.851,1.36181,51.0515,,,,
15.951,1.36181,51.02318,,,,
16.051,1.36181,50.99922,,,,
16.151,1.36181,50.96331,,,,
16.251,1.36181,50.93974,,,,
16.351,1.36181,50.91046,,,,
16.451,1.36181,50.89079,,,,
16.551,1.36181,50.85902,,,,
16.651,1.36181,50.8404,,,,
16.751,1.36181,50.8102,,,,
16.851,1.36181,50.77742,,,,
16.951,1.36181,50.75295,,,,
17.051,1.36181,50.73392,,,,
17.151,1.36181,50.70065,,,,
17.251,1.36181,50.67715,,,,
17.351,1.36181,50.65295,,,,
17.451,1.36181,50.62843,,,,
17.551,1.36181,50.60088,,,,
17.651,1.36181,50.58068,,,,
17.751,1.36181,50.55436,,,,
17.851,1.36181,50.53197,,,,
17.951,1.36181,50.51224,,,,
18.051,1.36181,50.4796,,,,
18.151,1.36181,50.46404,,,,
18.251,1.36181,50.4299,,,,
18.351,1.36181,50.41124,,,,
18.451,1.36181,50.3904,,,,
18.551,1.36181,50.3612,,,,
18.651,1.36181,50.3462,,,,
18.751,1.36181,50.31952,,,,
18.851,1.36181,50.29993,,,,
18.951,1.36181,50.27,,,,
19.051,1.36181,50.25821,,,,
19.151,1.36181,50.2327,,,,
19.251,1.36181,50.20897,,,,
19.351,1.36181,50.18467,,,,
19.451,1.36181,50.16765,,,,
19.551,1.36181,50.14173,,,,
19.651,1.36181,50.12551,,,,
19.751,1.36181,50.10555,,,,
19.851,1.36181,50.08094,,,,
19.951,1.36181,50.05954,,,,
20.051,1.36181,50.03179,,,,
20.151,1.36181,50.01939,,,,
20.251,1.36181,49.99865,,,,
20.351,1.36181,49.98642,,,,
20.451,1.36181,49.95468,,,,
20.551,1.36181,49.94364,,,,
20.651,1.36181,49.91606,,,,
20.751,1.36181,49.89411,,,,
20.851,1.36181,49.87423,,,,
20.951,1.36181,49.85017,,,,
21.051,1.36181,49.83932,,,,
21.151,1.36181,49.82061,,,,
21.251,1.36181,49.79758,,,,
21.351,1.36181,49.77485,,,,
21.451,1.36181,49.76067,,,,
21.551,1.36181,49.73751,,,,
21.651,1.36181,49.7221,,,,
21.751,1.36181,49.70141,,,,
21.851,1.36181,49.68354,,,,
21.951,1.36181,49.65966,,,,
22.051,1.36181,49.64868,,,,
22.151,1.36181,49.61834,,,,
22.251,1.36181,49.59861,,,,
22.351,1.36181,49.58311,,,,
22.451,1.36181,49.56335,,,,
22.551,1.36181,49.54768,,,,
22.651,1.36181,49.52736,,,,
22.751,1.36181,49.5065,,,,
22.851,1.36181,49.49244,,,,
22.951,1.36181,49.47258,,,,
23.051,1.36181,49.46013,,,,
23.151,1.36181,49.44398,,,,
23.251,1.36181,49.42095,,,,
23.351,1.36181,49.40262,,,,
23.451,1.36181,49.38925,,,,
23.55,1.36181,49.37219,,,,
23.551,1.36181,49.37217,,,,
23.586,1.36181,49.36649,,,,
23.686,1.34401,46.92829,,,,
23.768,1.30732,41.88135,,,,
23.868,1.26857,37.15097,,,,
23.968,1.22984,32.83153,,,,
24.068,1.19102,28.8746,,,,
24.168,1.15219,25.27575,,,,
24.268,1.1134,21.9485,,,,
24.368,1.07514,18.94263,,,,
24.468,1.03641,16.14494,,,,
24.568,0.99767,13.60292,,,,
24.668,0.95891,11.29836,,,,
24.768,0.92008,9.26028,,,,
24.868,0.88178,7.50548,,,,
24.968,0.84314,5.95159,,,,
25.068,0.80448,4.64213,,,,
25.168,0.76568,3.55651,,,,
25.268,0.727,2.67144,,,,
25.368,0.68849,1.96514,,,,
25.468,0.64985,1.40972,,,,
25.568,0.61092,0.98559,,,,
25.668,0.57235,0.6862,,,,
25.768,0.53343,0.4735,,,,
25.868,0.49504,0.33808,,,,
25.968,0.45641,0.24969,,,,
26.068,0.41766,0.20649,,,,
26.168,0.37896,0.18057,,,,
26.268,0.34044,0.15576,,,,
