Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.29314"
"0.10000","0.04374","0.70345"
"0.20000","0.13526","1.96573"
"0.30000","0.22129","3.90489"
"0.40000","0.30624","6.67702"
"0.50000","0.39167","10.41944"
"0.60000","0.47657","14.99900"
"0.69500","0.55759","20.00389"
"0.78300","0.63256","25.02642"
"0.86700","0.70371","30.05544"
"0.94800","0.77313","35.10945"
"1.02900","0.84184","40.16177"
"1.04100","0.85204","40.91943"
"1.04200","0.85289","40.98220"
"1.04300","0.85373","41.04495"
"1.14300","0.83662","36.24343"
"1.18800","0.79469","31.15866"
"1.24000","0.74882","26.15570"
"1.30000","0.69702","21.11549"
"1.37000","0.63769","16.08669"
"1.45300","0.56676","11.05689"
"1.55300","0.48154","6.46133"
"1.65300","0.39649","3.31660"
"1.75300","0.31106","1.45458"
"1.85300","0.22622","0.54941"
"1.95300","0.14068","0.19274"
"2.05300","0.05605","0.09203"
"2.11900","-0.00036","0.07084"
"2.12000","-0.00121","0.07075"
"2.12100","-0.00206","0.07073"
"2.22100","0.01459","0.12125"
"2.32100","0.10536","0.27052"
"2.42100","0.19150","0.90012"
"2.52100","0.27661","2.30329"
"2.62100","0.36175","4.84329"
"2.72100","0.44700","8.66084"
"2.82100","0.53183","13.66785"
"2.90600","0.60461","18.68753"
"2.98400","0.67073","23.71943"
"3.05700","0.73300","28.74767"
"3.12700","0.79276","33.80944"
"3.19600","0.85127","38.82947"
"3.19700","0.85212","38.90289"
"3.19800","0.85297","38.97630"
"3.19900","0.85381","39.04970"
"3.29900","0.83665","34.88772"
"3.34400","0.79472","29.86223"
"3.39700","0.74798","24.82498"
"3.45800","0.69534","19.80041"
"3.53000","0.63431","14.78421"
"3.61700","0.55998","9.75529"
"3.71700","0.47481","5.47325"
"3.81700","0.38966","2.65327"
"3.91700","0.30439","1.07737"
"4.01700","0.21941","0.37980"
"4.11700","0.13392","0.14164"
"4.21700","0.04927","0.08677"
"4.27500","-0.00031","0.06444"
"4.27600","-0.00117","0.06425"
"4.27700","-0.00202","0.06417"
"4.37700","0.01452","0.10573"
"4.47700","0.10532","0.20617"
"4.57700","0.19147","0.67592"
"4.67700","0.27657","1.86941"
"4.77700","0.36172","4.16659"
"4.87700","0.44697","7.77153"
"4.97700","0.53181","12.61577"
"5.06300","0.60543","17.63576"
"5.14100","0.67154","22.64977"
"5.21400","0.73384","27.72123"
"5.28300","0.79273","32.77416"
"5.35100","0.85038","37.82972"
"5.35300","0.85208","37.98112"
"5.35400","0.85293","38.05688"
"5.35500","0.85377","38.13270"
"5.45500","0.83663","34.16087"
"5.50000","0.79470","29.15956"
"5.55300","0.74796","24.15353"
"5.61500","0.69448","19.11107"
"5.68800","0.63258","14.09867"
"5.77700","0.55654","9.06956"
"5.87700","0.47141","4.98101"
"5.97700","0.38620","2.32358"
"6.07700","0.30100","0.90295"
"6.17700","0.21596","0.29938"
"6.27700","0.13053","0.12892"
"6.37700","0.04583","0.07461"
"6.43100","-0.00035","0.06671"
"6.43200","-0.00120","0.06694"
"6.43300","-0.00206","0.06721"
"6.53300","0.01441","0.09910"
"6.63300","0.10524","0.18524"
"6.73300","0.19139","0.56171"
"6.83300","0.27647","1.64009"
"6.93300","0.36163","3.79119"
"7.03300","0.44688","7.26216"
"7.13300","0.53171","11.99809"
"7.22000","0.60617","17.03282"
"7.29900","0.67313","22.08988"
"7.37100","0.73461","27.09412"
"7.43900","0.79262","32.10725"
"7.50600","0.84944","37.13598"
"7.50900","0.85199","37.36578"
"7.51000","0.85283","37.44262"
"7.51100","0.85368","37.51954"
"7.61100","0.83655","33.65063"
"7.65700","0.79371","28.56673"
"7.71100","0.74614","23.50738"
"7.77400","0.69185","18.45003"
"7.84900","0.62822","13.39898"
"7.94100","0.54962","8.36287"
"8.04100","0.46451","4.47061"
"8.14100","0.37924","2.01731"
"8.24100","0.29416","0.75029"
"8.34100","0.20902","0.24217"
"8.44100","0.12369","0.10682"
"8.54100","0.03889","0.06408"
"8.58700","-0.00043","0.06483"
"8.58800","-0.00129","0.06475"
"8.58900","-0.00214","0.06456"
"8.68900","0.01429","0.08478"
"8.78900","0.10512","0.16688"
"8.88900","0.19125","0.49374"
"8.98900","0.27633","1.48445"
"9.08900","0.36150","3.52100"
"9.18900","0.44674","6.89674"
"9.28900","0.53158","11.56300"
"9.37700","0.60688","16.62199"
"9.45600","0.67384","21.66103"
"9.52800","0.73535","26.67060"
"9.59600","0.79335","31.69223"
"9.66300","0.85015","36.75821"
"9.66500","0.85185","36.91239"
"9.66600","0.85270","36.98957"
"9.66700","0.85355","37.06680"
"9.76700","0.83645","33.26532"
"9.81300","0.79359","28.17829"
"9.86700","0.74602","23.15083"
"9.93000","0.69175","18.12218"
"10.00500","0.62811","13.10453"
"10.09800","0.54866","8.07400"
"10.19800","0.46356","4.26624"
"10.29800","0.37829","1.88050"
"10.39800","0.29322","0.68153"
"10.49800","0.20806","0.21825"
"10.59800","0.12275","0.10214"
"10.69800","0.03792","0.06863"
"10.74300","-0.00054","0.05925"
"10.74400","-0.00140","0.05909"
"10.74500","-0.00225","0.05905"
"10.84500","0.01418","0.09108"
"10.94500","0.10501","0.16034"
"11.04500","0.19114","0.45261"
"11.14500","0.27622","1.37117"
"11.24500","0.36137","3.33196"
"11.34500","0.44662","6.62472"
"11.44500","0.53146","11.23565"
"11.53300","0.60676","16.25013"
"11.61200","0.67373","21.28618"
"11.68400","0.73523","26.29435"
"11.75200","0.79323","31.31105"
"11.81800","0.84919","36.32590"
"11.82100","0.85174","36.55943"
"11.82200","0.85259","36.63729"
"11.82300","0.85344","36.71519"
"11.92300","0.83634","32.94916"
"11.96900","0.79347","27.87446"
"12.02300","0.74592","22.86446"
"12.08600","0.69166","17.85553"
"12.16200","0.62715","12.81219"
"12.25600","0.54684","7.79925"
"12.35600","0.46176","4.05456"
"12.45600","0.37648","1.75914"
"12.55600","0.29143","0.62997"
"12.65600","0.20624","0.21184"
"12.75600","0.12097","0.09694"
"12.85600","0.03610","0.06340"
"12.89900","-0.00065","0.05605"
"12.90000","-0.00150","0.05586"
"12.90100","-0.00236","0.05566"
"13.00100","0.01416","0.08156"
"13.10100","0.10489","0.15985"
"13.20100","0.19101","0.41040"
"13.30100","0.27610","1.27801"
"13.40100","0.36124","3.17132"
"13.50100","0.44650","6.40083"
"13.60100","0.53134","10.96761"
"13.69000","0.60748","16.01081"
"13.76900","0.67446","21.03181"
"13.84100","0.73594","26.03975"
"13.90900","0.79396","31.06457"
"13.97500","0.84992","36.09567"
"13.97700","0.85162","36.25173"
"13.97800","0.85247","36.32975"
"13.97900","0.85331","36.40781"
"14.07900","0.83626","32.69140"
"14.12500","0.79340","27.61338"
"14.18000","0.74496","22.52934"
"14.24400","0.68986","17.49012"
"14.32000","0.62536","12.48894"
"14.41600","0.54330","7.44527"
"14.51600","0.45828","3.81860"
"14.61600","0.37298","1.61521"
"14.71600","0.28796","0.56900"
"14.81600","0.20275","0.19293"
"14.91600","0.11752","0.10881"
"15.01600","0.03259","0.06776"
"15.05500","-0.00073","0.05640"
"15.05600","-0.00159","0.05591"
"15.05700","-0.00244","0.05545"
"15.15700","0.01389","0.07999"
"15.25700","0.10474","0.14523"
"15.35700","0.19086","0.38241"
"15.45700","0.27596","1.21728"
"15.55700","0.36110","3.04961"
"15.65700","0.44636","6.21129"
"15.75700","0.53120","10.73286"
"15.84600","0.60736","15.76000"
"15.92500","0.67432","20.77109"
"15.99800","0.73666","25.82933"
"16.06600","0.79468","30.86680"
"16.13200","0.85063","35.90704"
"16.13400","0.85232","36.06268"
"16.13500","0.85317","36.14050"
"16.13600","0.85402","36.21839"
"16.23600","0.83678","32.50124"
"16.28200","0.79409","27.45763"
"16.33700","0.74565","22.37598"
"16.40100","0.69054","17.34385"
"16.47800","0.62521","12.29389"
"16.57500","0.54230","7.25325"
"16.67500","0.45728","3.68547"
"16.77500","0.37196","1.54653"
"16.87500","0.28697","0.53268"
"16.97500","0.20174","0.17867"
"17.07500","0.11653","0.09123"
"17.17500","0.03160","0.06910"
"17.21200","-0.00005","0.05750"
"17.21300","-0.00091","0.05735"
"17.21400","-0.00176","0.05725"
"17.31400","0.01459","0.08073"
"17.41400","0.10544","0.14660"
"17.51400","0.19158","0.36694"
"17.61400","0.27667","1.16126"
"17.71400","0.36181","2.96047"
"17.81400","0.44707","6.08608"
"17.91400","0.53189","10.58200"
"18.00300","0.60806","15.59157"
"18.08200","0.67502","20.59897"
"18.15500","0.73739","25.65962"
"18.22300","0.79538","30.69468"
"18.28900","0.85133","35.74960"
"18.29000","0.85218","35.82771"
"18.29100","0.85303","35.90576"
"18.29200","0.85387","35.98381"
"18.39200","0.83695","32.32410"
"18.43800","0.79404","27.25127"
"18.49300","0.74557","22.17849"
"18.55800","0.68959","17.10802"
"18.63500","0.62426","12.08629"
"18.73200","0.54134","7.07964"
"18.83200","0.45633","3.56807"
"18.93200","0.37100","1.46419"
"19.03200","0.28602","0.49672"
"19.13200","0.20078","0.17288"
"19.23200","0.11560","0.08618"
"19.33200","0.03065","0.05547"
"19.36800","-0.00015","0.05129"
"19.36900","-0.00101","0.05135"
"19.37000","-0.00186","0.05138"
"19.47000","0.01442","0.08276"
"19.57000","0.10534","0.13588"
"19.67000","0.19148","0.34866"
"19.77000","0.27657","1.11390"
"19.87000","0.36170","2.85670"
"19.97000","0.44698","5.94083"
"20.07000","0.53179","10.40287"
"20.16000","0.60882","15.44690"
"20.23900","0.67576","20.45072"
"20.31200","0.73815","25.51132"
"20.38000","0.79614","30.55210"
"20.44600","0.85207","35.61848"
"20.44700","0.85292","35.69727"
"20.44800","0.85377","35.77602"
