Strain : Tensile strain (Extension) gauge length,100,mm,,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start ,High End
0,0,0.21512,5,412,467,488
0.01,0,0.21987,,,,
0.02,0.00009,0.22433,,,,
0.03,0.00041,0.22437,,,,
0.04,0.00111,0.22596,,,,
0.05,0.00248,0.22379,,,,
0.06,0.00423,0.21638,,,,
0.07,0.00576,0.2202,,,,
0.08,0.00723,0.23037,,,,
0.09,0.00904,0.23881,,,,
0.1,0.01163,0.24955,,,,
0.11,0.01516,0.26114,,,,
0.12,0.01947,0.27167,,,,
0.13,0.02422,0.28348,,,,
0.14,0.02907,0.30051,,,,
0.15,0.03377,0.3158,,,,
0.16,0.03821,0.33354,,,,
0.17,0.04236,0.34931,,,,
0.18,0.04627,0.3628,,,,
0.19,0.05001,0.37712,,,,
0.2,0.05368,0.38962,,,,
0.21,0.05734,0.40348,,,,
0.22,0.06104,0.41762,,,,
0.23,0.06476,0.42884,,,,
0.24,0.06845,0.44306,,,,
0.25,0.07207,0.45881,,,,
0.26,0.07563,0.47721,,,,
0.27,0.07916,0.50031,,,,
0.28,0.08269,0.521,,,,
0.29,0.08622,0.53599,,,,
0.3,0.08978,0.5545,,,,
0.31,0.0934,0.5729,,,,
0.32,0.09707,0.58884,,,,
0.33,0.10077,0.60824,,,,
0.34,0.10445,0.62835,,,,
0.35,0.10806,0.64645,,,,
0.36,0.1116,0.66748,,,,
0.37,0.11509,0.68982,,,,
0.38,0.11856,0.70789,,,,
0.39,0.12203,0.72831,,,,
0.4,0.12556,0.7525,,,,
0.41,0.12915,0.77816,,,,
0.42,0.13281,0.80108,,,,
0.43,0.13649,0.82777,,,,
0.44,0.14017,0.85351,,,,
0.45,0.14381,0.87549,,,,
0.46,0.14739,0.8994,,,,
0.47,0.15091,0.92545,,,,
0.48,0.15439,0.95375,,,,
0.49,0.15786,0.98309,,,,
0.5,0.16138,1.01684,,,,
0.51,0.16496,1.04881,,,,
0.52,0.16862,1.08095,,,,
0.53,0.17232,1.11647,,,,
0.54,0.17603,1.1547,,,,
0.55,0.17973,1.18664,,,,
0.56,0.1834,1.22119,,,,
0.57,0.18703,1.25672,,,,
0.58,0.19059,1.29185,,,,
0.59,0.1941,1.32384,,,,
0.6,0.19759,1.35704,,,,
0.61,0.2011,1.39375,,,,
0.62,0.20466,1.43249,,,,
0.63,0.20826,1.47382,,,,
0.64,0.21189,1.51512,,,,
0.65,0.2155,1.5537,,,,
0.66,0.2191,1.5965,,,,
0.67,0.22269,1.63784,,,,
0.68,0.22625,1.67689,,,,
0.69,0.22978,1.71814,,,,
0.7,0.2333,1.76359,,,,
0.71,0.23686,1.80929,,,,
0.72,0.24046,1.85813,,,,
0.73,0.24409,1.90381,,,,
0.74,0.24772,1.94758,,,,
0.75,0.25134,1.99217,,,,
0.76,0.25494,2.04127,,,,
0.77,0.25851,2.0888,,,,
0.78,0.26206,2.13539,,,,
0.79,0.2656,2.18341,,,,
0.8,0.26914,2.23471,,,,
0.81,0.27271,2.28839,,,,
0.82,0.27629,2.34175,,,,
0.83,0.27988,2.39372,,,,
0.84,0.28347,2.4471,,,,
0.85,0.28705,2.50182,,,,
0.86,0.29062,2.56304,,,,
0.87,0.29417,2.6169,,,,
0.88,0.2977,2.6702,,,,
0.89,0.30124,2.73147,,,,
0.9,0.30481,2.78737,,,,
0.91,0.30842,2.84745,,,,
0.92,0.31205,2.91515,,,,
0.93,0.31567,2.97551,,,,
0.94,0.31927,3.03274,,,,
0.95,0.32284,3.09623,,,,
0.96,0.32637,3.15753,,,,
0.97,0.32988,3.21446,,,,
0.98,0.33337,3.27902,,,,
0.99,0.33689,3.34484,,,,
1,0.34047,3.40851,,,,
1.01,0.34412,3.47858,,,,
1.02,0.34782,3.55061,,,,
1.03,0.35152,3.61646,,,,
1.04,0.35517,3.6861,,,,
1.05,0.35875,3.75954,,,,
1.06,0.36228,3.82846,,,,
1.07,0.36578,3.89877,,,,
1.08,0.36927,3.97497,,,,
1.09,0.37279,4.04826,,,,
1.1,0.37636,4.12237,,,,
1.11,0.38002,4.1971,,,,
1.12,0.38375,4.27222,,,,
1.13,0.38749,4.35027,,,,
1.14,0.39118,4.42982,,,,
1.15,0.39479,4.5077,,,,
1.16,0.39832,4.58263,,,,
1.17,0.40179,4.6617,,,,
1.18,0.40524,4.7425,,,,
1.19,0.40871,4.81879,,,,
1.2,0.41223,4.89674,,,,
1.21,0.41581,4.98091,,,,
1.22,0.41947,5.06924,,,,
1.23,0.42316,5.15681,,,,
1.24,0.42686,5.24622,,,,
1.25,0.43051,5.334,,,,
1.26,0.43409,5.41856,,,,
1.27,0.43759,5.5027,,,,
1.28,0.44105,5.58896,,,,
1.29,0.44449,5.6723,,,,
1.3,0.44797,5.76086,,,,
1.31,0.45153,5.85355,,,,
1.32,0.45515,5.94978,,,,
1.33,0.45882,6.04878,,,,
1.34,0.46249,6.14761,,,,
1.35,0.46614,6.23976,,,,
1.36,0.46975,6.32952,,,,
1.37,0.47331,6.41869,,,,
1.38,0.47681,6.51131,,,,
1.39,0.48027,6.60789,,,,
1.4,0.48373,6.70514,,,,
1.41,0.48724,6.80489,,,,
1.42,0.49082,6.90863,,,,
1.43,0.49444,7.01243,,,,
1.44,0.49809,7.1179,,,,
1.45,0.50172,7.22166,,,,
1.46,0.50534,7.32373,,,,
1.47,0.50893,7.4252,,,,
1.48,0.51249,7.53036,,,,
1.49,0.51603,7.6345,,,,
1.5,0.51955,7.7408,,,,
1.51,0.5231,7.84985,,,,
1.52,0.52669,7.95817,,,,
1.53,0.53031,8.07125,,,,
1.54,0.53394,8.18474,,,,
1.55,0.53754,8.29746,,,,
1.56,0.54111,8.40936,,,,
1.57,0.54466,8.5219,,,,
1.58,0.54819,8.63203,,,,
1.59,0.55175,8.74324,,,,
1.6,0.55536,8.86121,,,,
1.61,0.55904,8.9839,,,,
1.62,0.56274,9.10598,,,,
1.63,0.56644,9.22762,,,,
1.64,0.57009,9.3523,,,,
1.65,0.5737,9.4769,,,,
1.66,0.57724,9.59835,,,,
1.67,0.58075,9.71953,,,,
1.68,0.58422,9.83766,,,,
1.69,0.58771,9.95417,,,,
1.7,0.59125,10.07392,,,,
1.71,0.59489,10.20045,,,,
1.72,0.59858,10.32863,,,,
1.73,0.60227,10.45782,,,,
1.74,0.60592,10.58959,,,,
1.75,0.60949,10.72125,,,,
1.76,0.61302,10.84983,,,,
1.77,0.6165,10.97447,,,,
1.78,0.61996,11.09908,,,,
1.79,0.62343,11.22543,,,,
1.8,0.62695,11.35418,,,,
1.81,0.63055,11.48665,,,,
1.82,0.63421,11.62376,,,,
1.83,0.6379,11.76358,,,,
1.84,0.64159,11.90239,,,,
1.85,0.6452,12.03866,,,,
1.86,0.64875,12.1765,,,,
1.87,0.65224,12.31269,,,,
1.88,0.65569,12.44735,,,,
1.89,0.65914,12.58848,,,,
1.9,0.66264,12.73195,,,,
1.91,0.66621,12.87629,,,,
1.92,0.66987,13.02097,,,,
1.93,0.67356,13.16782,,,,
1.94,0.67725,13.31715,,,,
1.95,0.68091,13.46419,,,,
1.96,0.68452,13.60669,,,,
1.97,0.68806,13.75055,,,,
1.98,0.69154,13.89643,,,,
1.99,0.695,14.04207,,,,
2,0.69848,14.18896,,,,
2.01,0.70202,14.33963,,,,
2.02,0.70562,14.49927,,,,
2.03,0.70925,14.66306,,,,
2.04,0.7129,14.82189,,,,
2.05,0.71652,14.97163,,,,
2.06,0.72012,15.11665,,,,
2.07,0.72368,15.26432,,,,
2.08,0.72721,15.4142,,,,
2.09,0.73071,15.57129,,,,
2.1,0.73425,15.73418,,,,
2.11,0.73784,15.9012,,,,
2.12,0.7415,16.07303,,,,
2.13,0.74519,16.24349,,,,
2.14,0.74888,16.41548,,,,
2.15,0.75255,16.58483,,,,
2.16,0.75618,16.75053,,,,
2.17,0.75977,16.91132,,,,
2.18,0.76332,17.06959,,,,
2.19,0.76686,17.22732,,,,
2.2,0.77042,17.38895,,,,
2.21,0.774,17.55963,,,,
2.22,0.77761,17.73357,,,,
2.23,0.78122,17.90782,,,,
2.24,0.78482,18.08409,,,,
2.25,0.78839,18.25694,,,,
2.26,0.79193,18.42568,,,,
2.27,0.79546,18.5912,,,,
2.28,0.79898,18.75809,,,,
2.29,0.80252,18.92722,,,,
2.3,0.8061,19.10285,,,,
2.31,0.80972,19.283,,,,
2.32,0.81336,19.46659,,,,
2.33,0.81699,19.65065,,,,
2.34,0.82059,19.8345,,,,
2.35,0.82413,20.01696,,,,
2.36,0.82764,20.19719,,,,
2.37,0.83114,20.37581,,,,
2.38,0.83464,20.55049,,,,
2.39,0.83816,20.72714,,,,
2.4,0.84173,20.90735,,,,
2.41,0.84536,21.09479,,,,
2.42,0.84902,21.29008,,,,
2.43,0.85268,21.48532,,,,
2.44,0.8563,21.67824,,,,
2.45,0.85987,21.87019,,,,
2.46,0.86338,22.06112,,,,
2.47,0.86688,22.24759,,,,
2.48,0.87036,22.43435,,,,
2.49,0.87386,22.61932,,,,
2.5,0.87742,22.80933,,,,
2.51,0.88106,23.0092,,,,
2.52,0.88474,23.21426,,,,
2.53,0.88844,23.41574,,,,
2.54,0.8921,23.6203,,,,
2.55,0.89569,23.81873,,,,
2.56,0.89921,24.01114,,,,
2.57,0.90267,24.20383,,,,
2.58,0.90612,24.3959,,,,
2.59,0.90959,24.58735,,,,
2.6,0.91314,24.78767,,,,
2.61,0.91676,24.9957,,,,
2.62,0.92046,25.20606,,,,
2.63,0.92418,25.41878,,,,
2.64,0.92791,25.63121,,,,
2.65,0.9316,25.84116,,,,
2.66,0.93523,26.0484,,,,
2.67,0.9388,26.25303,,,,
2.68,0.94232,26.45674,,,,
