Strain : Tensile strain (Extension) gauge length,100,mm,,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start,High End
0,0,0.18186,856,1164,1314,1404
0.1,0.0136,0.22607,,,,
0.2,0.05425,0.30318,,,,
0.3,0.09198,0.39567,,,,
0.4,0.12882,0.5045,,,,
0.5,0.16569,0.6399,,,,
0.6,0.20274,0.78762,,,,
0.7,0.23939,0.98779,,,,
0.8,0.27606,1.22018,,,,
0.9,0.3127,1.50399,,,,
1,0.34951,1.83097,,,,
1.1,0.38665,2.23679,,,,
1.2,0.42346,2.70414,,,,
1.3,0.46014,3.23485,,,,
1.4,0.49688,3.85544,,,,
1.5,0.53338,4.55601,,,,
1.6,0.57043,5.34776,,,,
1.7,0.60718,6.23065,,,,
1.8,0.64387,7.1889,,,,
1.9,0.68056,8.26506,,,,
2,0.7173,9.45035,,,,
2.1,0.75437,10.74657,,,,
2.2,0.7911,12.12565,,,,
2.3,0.82789,13.64508,,,,
2.4,0.86429,15.2191,,,,
2.5,0.90107,16.93151,,,,
2.6,0.93796,18.74465,,,,
2.7,0.97477,20.64833,,,,
2.8,1.01155,22.67597,,,,
2.9,1.04825,24.76139,,,,
3,1.08502,26.99811,,,,
3.1,1.12183,29.33004,,,,
3.2,1.15873,31.75834,,,,
3.3,1.19538,34.24046,,,,
3.4,1.23204,36.8098,,,,
3.5,1.26882,39.43862,,,,
3.55,1.2875,40.81127,,,,
3.551,1.28787,40.83786,,,,
3.552,1.28824,40.86437,,,,
3.652,1.30018,40.6333,,,,
3.752,1.29819,39.55972,,,,
3.852,1.29681,38.82148,,,,
3.952,1.29612,38.29017,,,,
4.052,1.29585,37.8754,,,,
4.152,1.29581,37.5416,,,,
4.252,1.29572,37.23887,,,,
4.352,1.29572,36.98078,,,,
4.452,1.29572,36.75769,,,,
4.552,1.29572,36.54723,,,,
4.652,1.29572,36.34641,,,,
4.752,1.29571,36.15725,,,,
4.852,1.29562,36.00104,,,,
4.952,1.29562,35.84451,,,,
5.052,1.29562,35.70427,,,,
5.152,1.29568,35.57001,,,,
5.252,1.29569,35.43811,,,,
5.352,1.2957,35.32294,,,,
5.452,1.29572,35.21236,,,,
5.552,1.29572,35.08762,,,,
5.652,1.29572,34.98052,,,,
5.752,1.29572,34.88716,,,,
5.852,1.29572,34.78037,,,,
5.952,1.29572,34.69232,,,,
6.052,1.29572,34.60213,,,,
6.152,1.29572,34.52299,,,,
6.252,1.29572,34.43429,,,,
6.352,1.29572,34.35041,,,,
6.452,1.29572,34.26574,,,,
6.552,1.29572,34.19178,,,,
6.652,1.29572,34.12172,,,,
6.752,1.29572,34.0529,,,,
6.852,1.29572,33.98008,,,,
6.952,1.29572,33.92241,,,,
7.052,1.29572,33.85056,,,,
7.152,1.29572,33.79144,,,,
7.252,1.29572,33.72645,,,,
7.352,1.29572,33.6722,,,,
7.452,1.29572,33.60514,,,,
7.552,1.29572,33.55006,,,,
7.652,1.29572,33.49345,,,,
7.752,1.29572,33.4344,,,,
7.852,1.29572,33.37998,,,,
7.952,1.29572,33.33086,,,,
8.052,1.29572,33.2787,,,,
8.152,1.29572,33.23029,,,,
8.252,1.29572,33.1824,,,,
8.352,1.29572,33.12946,,,,
8.452,1.29572,33.08375,,,,
8.552,1.29572,33.02124,,,,
8.652,1.29572,32.99219,,,,
8.752,1.29572,32.93686,,,,
8.852,1.29572,32.88879,,,,
8.952,1.29572,32.85186,,,,
9.052,1.29572,32.81852,,,,
9.152,1.29572,32.77258,,,,
9.252,1.29572,32.72921,,,,
9.352,1.29572,32.69524,,,,
9.452,1.29572,32.64799,,,,
9.552,1.29572,32.60621,,,,
9.652,1.29572,32.57182,,,,
9.752,1.29572,32.52947,,,,
9.852,1.29572,32.49919,,,,
9.952,1.29572,32.4603,,,,
10.052,1.29572,32.42453,,,,
10.152,1.29572,32.38097,,,,
10.252,1.29572,32.35115,,,,
10.352,1.29572,32.31436,,,,
10.452,1.29572,32.28093,,,,
10.552,1.29572,32.24593,,,,
10.652,1.29572,32.21233,,,,
10.752,1.29572,32.18492,,,,
10.852,1.29572,32.15571,,,,
10.952,1.29572,32.11576,,,,
11.052,1.29572,32.08934,,,,
11.152,1.29572,32.0545,,,,
11.252,1.29572,32.02108,,,,
11.352,1.29572,31.99474,,,,
11.452,1.29572,31.95722,,,,
11.552,1.29572,31.92932,,,,
11.652,1.29572,31.90434,,,,
11.752,1.29572,31.88042,,,,
11.852,1.29572,31.84969,,,,
11.952,1.29572,31.81596,,,,
12.052,1.29572,31.7934,,,,
12.152,1.29572,31.75389,,,,
12.252,1.29572,31.72622,,,,
12.352,1.29572,31.70198,,,,
12.452,1.29572,31.68088,,,,
12.552,1.29572,31.651,,,,
12.652,1.29572,31.62403,,,,
12.752,1.29572,31.59852,,,,
12.852,1.29572,31.57189,,,,
12.952,1.29572,31.54739,,,,
13.052,1.29572,31.51921,,,,
13.152,1.29572,31.4897,,,,
13.252,1.29572,31.46769,,,,
13.352,1.29572,31.44142,,,,
13.452,1.29572,31.42107,,,,
13.552,1.29572,31.39312,,,,
13.652,1.29572,31.37714,,,,
13.752,1.29572,31.34829,,,,
13.852,1.29572,31.323,,,,
13.952,1.29572,31.30129,,,,
14.052,1.29572,31.28279,,,,
14.152,1.29572,31.26604,,,,
14.252,1.29572,31.23322,,,,
14.352,1.29572,31.21569,,,,
14.452,1.29572,31.19316,,,,
14.552,1.29572,31.16868,,,,
14.652,1.29572,31.14288,,,,
14.752,1.29572,31.12233,,,,
14.852,1.29572,31.10281,,,,
14.952,1.29572,31.07949,,,,
15.052,1.29572,31.06229,,,,
15.152,1.29572,31.04449,,,,
15.252,1.29572,31.01587,,,,
15.352,1.29572,30.99658,,,,
15.452,1.29572,30.978,,,,
15.552,1.29572,30.95774,,,,
15.652,1.29572,30.9356,,,,
15.752,1.29572,30.91603,,,,
15.852,1.29572,30.90057,,,,
15.952,1.29572,30.87781,,,,
16.052,1.29572,30.86396,,,,
16.152,1.29572,30.83812,,,,
16.252,1.29572,30.8242,,,,
16.352,1.29572,30.80334,,,,
16.452,1.29572,30.78194,,,,
16.552,1.29572,30.76653,,,,
16.652,1.29572,30.74916,,,,
16.752,1.29572,30.72612,,,,
16.852,1.29572,30.7073,,,,
16.952,1.29572,30.69871,,,,
17.052,1.29572,30.66967,,,,
17.152,1.29572,30.66089,,,,
17.252,1.29572,30.63727,,,,
17.352,1.29572,30.61356,,,,
17.452,1.29572,30.60292,,,,
17.552,1.29567,30.58699,,,,
17.652,1.29568,30.56142,,,,
17.752,1.29569,30.55818,,,,
17.852,1.2957,30.53152,,,,
17.952,1.29572,30.52295,,,,
18.052,1.29572,30.50677,,,,
18.152,1.29572,30.47965,,,,
18.252,1.29572,30.46353,,,,
18.352,1.29572,30.45426,,,,
18.452,1.29572,30.43407,,,,
18.552,1.29572,30.41843,,,,
18.652,1.29572,30.4069,,,,
18.752,1.29572,30.38821,,,,
18.852,1.29572,30.37854,,,,
18.952,1.29572,30.35691,,,,
19.052,1.29572,30.33714,,,,
19.152,1.29572,30.31625,,,,
19.252,1.29572,30.30993,,,,
19.352,1.29572,30.29065,,,,
19.452,1.29572,30.2777,,,,
19.552,1.29572,30.26545,,,,
19.652,1.29572,30.24886,,,,
19.752,1.29572,30.23314,,,,
19.852,1.29572,30.21802,,,,
19.952,1.29572,30.20204,,,,
20.052,1.29572,30.18442,,,,
20.152,1.29572,30.16916,,,,
20.252,1.29572,30.16002,,,,
20.352,1.29572,30.14292,,,,
20.452,1.29572,30.12708,,,,
20.552,1.29572,30.11836,,,,
20.652,1.29572,30.09468,,,,
20.752,1.29572,30.09033,,,,
20.852,1.29572,30.06902,,,,
20.952,1.29572,30.05558,,,,
21.052,1.29572,30.04229,,,,
21.152,1.29572,30.02876,,,,
21.252,1.29572,30.01578,,,,
21.352,1.29572,30.00314,,,,
21.452,1.29572,29.98891,,,,
21.552,1.29572,29.97333,,,,
21.652,1.29572,29.96433,,,,
21.752,1.29572,29.95494,,,,
21.852,1.29572,29.93756,,,,
21.952,1.29572,29.92357,,,,
22.052,1.29572,29.91128,,,,
22.152,1.29572,29.90098,,,,
22.252,1.29572,29.88668,,,,
22.352,1.29572,29.87392,,,,
22.452,1.29572,29.86195,,,,
22.552,1.29572,29.84482,,,,
22.652,1.29572,29.83692,,,,
22.752,1.29572,29.82125,,,,
22.852,1.29572,29.80929,,,,
22.952,1.29572,29.79925,,,,
23.052,1.29572,29.77666,,,,
23.152,1.29572,29.76708,,,,
23.252,1.29572,29.75348,,,,
23.352,1.29572,29.7421,,,,
23.452,1.29572,29.72432,,,,
23.551,1.29572,29.72635,,,,
23.552,1.29572,29.72605,,,,
23.581,1.29572,29.71637,,,,
23.681,1.27958,27.84462,,,,
23.781,1.23789,22.93976,,,,
23.881,1.20096,19.32569,,,,
23.981,1.16397,16.21288,,,,
24.081,1.12704,13.55665,,,,
24.181,1.09035,11.29503,,,,
24.281,1.0536,9.32656,,,,
24.381,1.01681,7.62267,,,,
24.481,0.97983,6.16003,,,,
24.581,0.94304,4.93466,,,,
24.681,0.90609,3.91019,,,,
24.781,0.86944,3.06153,,,,
24.881,0.83297,2.36946,,,,
24.981,0.79591,1.81584,,,,
25.081,0.7592,1.39383,,,,
25.181,0.72226,1.04144,,,,
25.281,0.68573,0.79064,,,,
25.381,0.64878,0.59283,,,,
25.481,0.61185,0.4425,,,,
25.581,0.57516,0.33691,,,,
25.681,0.53828,0.26008,,,,
25.781,0.50192,0.19524,,,,
25.881,0.46511,0.1408,,,,
25.981,0.42825,0.10979,,,,
26.081,0.39134,0.09448,,,,
26.181,0.35443,0.07157,,,,
26.281,0.31782,0.06421,,,,
26.381,0.2811,0.05473,,,,
