Strain : Tensile strain (Extension) gauge length,100,mm,,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start,High End
0,0,0.15685,1279,1615,1740,1829
0.1,0.04691,0.29324,,,,
0.2,0.14651,0.74521,,,,
0.3,0.23949,1.57834,,,,
0.4,0.33268,3.05564,,,,
0.5,0.42499,5.37734,,,,
0.6,0.51811,8.66673,,,,
0.7,0.61055,12.87915,,,,
0.799,0.70271,17.88776,,,,
0.889,0.78588,22.9433,,,,
0.97,0.86108,27.95868,,,,
1.042,0.92798,32.68972,,,,
1.043,0.92889,32.75555,,,,
1.044,0.92981,32.82139,,,,
1.142,0.91177,27.69094,,,,
1.183,0.86985,22.61412,,,,
1.236,0.81915,17.56429,,,,
1.304,0.75586,12.55165,,,,
1.397,0.66921,7.52742,,,,
1.497,0.57653,4.03447,,,,
1.597,0.48366,1.96779,,,,
1.697,0.39084,0.88667,,,,
1.797,0.29801,0.37967,,,,
1.897,0.20548,0.16318,,,,
1.997,0.11263,0.07932,,,,
2.097,0.02007,0.04503,,,,
2.119,-0.00028,0.0409,,,,
2.12,-0.0012,0.04014,,,,
2.121,-0.00212,0.0394,,,,
2.221,0.01671,0.06184,,,,
2.321,0.11533,0.1374,,,,
2.421,0.20874,0.33693,,,,
2.521,0.30169,0.80849,,,,
2.621,0.39438,1.79941,,,,
2.721,0.48728,3.72978,,,,
2.821,0.57983,6.94352,,,,
2.921,0.67264,11.55555,,,,
3.007,0.7524,16.55772,,,,
3.082,0.82173,21.61251,,,,
3.148,0.88332,26.6391,,,,
3.196,0.92777,30.46724,,,,
3.197,0.92869,30.54777,,,,
3.198,0.92961,30.62828,,,,
3.298,0.90968,25.98116,,,,
3.34,0.86681,20.97357,,,,
3.396,0.81349,15.89461,,,,
3.469,0.74557,10.86542,,,,
3.569,0.65235,6.04619,,,,
3.669,0.55979,3.06488,,,,
3.769,0.4668,1.41001,,,,
3.869,0.37424,0.59967,,,,
3.969,0.28123,0.2514,,,,
4.069,0.18881,0.11064,,,,
4.169,0.09577,0.05729,,,,
4.269,0.00335,0.03126,,,,
4.273,-0.00035,0.0323,,,,
4.274,-0.00127,0.03239,,,,
4.275,-0.00219,0.03236,,,,
4.375,0.01668,0.05269,,,,
4.475,0.11523,0.11685,,,,
4.575,0.20863,0.25605,,,,
4.675,0.3016,0.63286,,,,
4.775,0.39426,1.44908,,,,
4.875,0.48715,3.14715,,,,
4.975,0.57973,6.10145,,,,
5.075,0.67253,10.52314,,,,
5.163,0.75413,15.545,,,,
5.238,0.82349,20.58863,,,,
5.303,0.88413,25.59957,,,,
5.35,0.92765,29.45094,,,,
5.351,0.92857,29.53466,,,,
5.352,0.92949,29.6184,,,,
5.452,0.90953,25.21408,,,,
5.495,0.86572,20.18373,,,,
5.552,0.81155,15.12994,,,,
5.627,0.74178,10.12403,,,,
5.727,0.6485,5.50769,,,,
5.827,0.556,2.72198,,,,
5.927,0.46297,1.21109,,,,
6.027,0.37049,0.51078,,,,
6.127,0.27744,0.20564,,,,
6.227,0.18502,0.08953,,,,
6.327,0.09198,0.04884,,,,
6.427,-0.00044,0.028,,,,
6.428,-0.00137,0.02777,,,,
6.429,-0.00229,0.02749,,,,
6.529,0.01639,0.0491,,,,
6.629,0.11504,0.09909,,,,
6.729,0.20846,0.23241,,,,
6.829,0.30142,0.5428,,,,
6.929,0.39407,1.27173,,,,
7.029,0.48698,2.82437,,,,
7.129,0.57956,5.62955,,,,
7.229,0.67236,9.92506,,,,
7.318,0.75487,14.94777,,,,
7.393,0.82422,19.96779,,,,
7.458,0.88489,24.98742,,,,
7.505,0.92839,28.8787,,,,
7.506,0.92931,28.96321,,,,
7.507,0.93023,29.04786,,,,
7.607,0.91056,24.80475,,,,
7.65,0.86663,19.77093,,,,
7.707,0.81237,14.75288,,,,
7.784,0.74075,9.70109,,,,
7.884,0.64745,5.20237,,,,
7.984,0.55497,2.51685,,,,
8.084,0.46193,1.09823,,,,
8.184,0.36947,0.45381,,,,
8.284,0.27639,0.17851,,,,
8.384,0.184,0.07805,,,,
8.484,0.09092,0.04396,,,,
8.583,-0.00054,0.02397,,,,
8.584,-0.00146,0.024,,,,
8.585,-0.00239,0.02395,,,,
8.685,0.01608,0.04368,,,,
8.785,0.11485,0.08047,,,,
8.885,0.20831,0.1923,,,,
8.985,0.30122,0.48541,,,,
9.085,0.3939,1.16417,,,,
9.185,0.48679,2.6128,,,,
9.285,0.57939,5.30414,,,,
9.385,0.6722,9.50539,,,,
9.475,0.75563,14.5249,,,,
9.55,0.82498,19.53522,,,,
9.615,0.88563,24.55356,,,,
9.661,0.92824,28.38281,,,,
9.662,0.92915,28.46748,,,,
9.663,0.93007,28.55226,,,,
9.763,0.91028,24.37398,,,,
9.807,0.86543,19.2942,,,,
9.865,0.81033,14.26596,,,,
9.943,0.73779,9.25839,,,,
10.043,0.64447,4.90667,,,,
10.143,0.55202,2.33548,,,,
10.243,0.45897,1.00577,,,,
10.343,0.36655,0.4022,,,,
10.443,0.27342,0.1698,,,,
10.543,0.18105,0.07419,,,,
10.643,0.08796,0.04651,,,,
10.739,-0.00071,0.01633,,,,
10.74,-0.00163,0.01599,,,,
10.741,-0.00256,0.01582,,,,
10.841,0.01598,0.04239,,,,
10.941,0.11465,0.09293,,,,
11.041,0.20809,0.17676,,,,
11.141,0.30101,0.4497,,,,
11.241,0.39369,1.0722,,,,
11.341,0.48657,2.4516,,,,
11.441,0.57917,5.06491,,,,
11.541,0.67197,9.18897,,,,
11.632,0.75633,14.22061,,,,
11.708,0.82659,19.28942,,,,
11.773,0.88726,24.30971,,,,
11.817,0.92802,27.99046,,,,
11.818,0.92894,28.07606,,,,
11.819,0.92986,28.16174,,,,
11.919,0.91015,24.05193,,,,
11.963,0.86526,19.00073,,,,
12.022,0.80922,13.93379,,,,
12.101,0.73574,8.92924,,,,
12.201,0.6424,4.67748,,,,
12.301,0.54999,2.19317,,,,
12.401,0.45692,0.92398,,,,
12.501,0.36452,0.37179,,,,
12.601,0.27135,0.15189,,,,
12.701,0.17902,0.07732,,,,
12.801,0.08593,0.03679,,,,
12.895,-0.00086,0.02212,,,,
12.896,-0.00178,0.0215,,,,
12.897,-0.00271,0.02089,,,,
12.997,0.01561,0.04723,,,,
13.097,0.11437,0.07764,,,,
13.197,0.20782,0.17843,,,,
13.297,0.30071,0.42137,,,,
13.397,0.39342,1.00568,,,,
13.497,0.4863,2.32214,,,,
13.597,0.57889,4.85779,,,,
13.697,0.67169,8.92473,,,,
13.789,0.75697,13.97702,,,,
13.865,0.82725,19.0412,,,,
13.93,0.88792,24.05499,,,,
13.973,0.92772,27.65178,,,,
13.974,0.92864,27.73733,,,,
13.975,0.92956,27.82302,,,,
14.075,0.91005,23.79586,,,,
14.119,0.86506,18.74494,,,,
14.178,0.80899,13.70223,,,,
14.258,0.73457,8.70164,,,,
14.358,0.64123,4.50179,,,,
14.458,0.54881,2.09737,,,,
14.558,0.45575,0.87667,,,,
14.658,0.36333,0.3449,,,,
14.758,0.27019,0.14163,,,,
14.858,0.17786,0.06851,,,,
14.958,0.08476,0.03695,,,,
15.05,-0.00019,0.0222,,,,
15.051,-0.00111,0.02179,,,,
15.052,-0.00204,0.02136,,,,
15.152,0.01619,0.0416,,,,
15.252,0.11504,0.07839,,,,
15.352,0.20847,0.16487,,,,
15.452,0.3014,0.39568,,,,
15.552,0.39408,0.95656,,,,
15.652,0.48697,2.23735,,,,
15.752,0.57954,4.72704,,,,
15.852,0.67235,8.74524,,,,
15.944,0.75763,13.77867,,,,
16.02,0.8279,18.82472,,,,
16.085,0.88861,23.86829,,,,
16.128,0.92839,27.45876,,,,
16.129,0.92931,27.54457,,,,
16.13,0.93023,27.6304,,,,
16.23,0.91076,23.63636,,,,
16.274,0.86578,18.59688,,,,
16.333,0.80968,13.55882,,,,
16.414,0.73432,8.52826,,,,
16.514,0.641,4.40672,,,,
16.614,0.5486,2.02888,,,,
16.714,0.45554,0.83832,,,,
16.814,0.36311,0.33142,,,,
16.914,0.26996,0.13337,,,,
17.014,0.17764,0.06303,,,,
17.114,0.08455,0.0345,,,,
17.206,-0.00042,0.02024,,,,
17.207,-0.00134,0.02032,,,,
17.208,-0.00227,0.02042,,,,
17.308,0.01613,0.03494,,,,
17.408,0.11485,0.07333,,,,
17.508,0.20827,0.15601,,,,
17.608,0.30119,0.37331,,,,
17.708,0.39386,0.91613,,,,
17.808,0.48678,2.14577,,,,
17.908,0.57933,4.57834,,,,
18.008,0.67217,8.55299,,,,
18.1,0.75742,13.55945,,,,
18.176,0.8277,18.59227,,,,
18.241,0.88838,23.61284,,,,
18.284,0.92816,27.2044,,,,
18.285,0.92908,27.2899,,,,
18.286,0.93,27.37554,,,,
18.386,0.91058,23.41132,,,,
18.43,0.8656,18.39921,,,,
18.489,0.80951,13.39675,,,,
18.57,0.73414,8.37999,,,,
18.67,0.64082,4.29227,,,,
18.77,0.54841,1.96083,,,,
18.87,0.45536,0.80083,,,,
18.97,0.36292,0.31672,,,,
19.07,0.26977,0.13343,,,,
19.17,0.17753,0.06019,,,,
19.27,0.08432,0.03801,,,,
19.362,-0.00061,0.01742,,,,
19.363,-0.00153,0.01741,,,,
19.364,-0.00246,0.01739,,,,
19.464,0.01599,0.03637,,,,
19.564,0.11463,0.06548,,,,
19.664,0.20803,0.14675,,,,
19.764,0.30094,0.35019,,,,
19.864,0.39362,0.87648,,,,
19.964,0.48659,2.08085,,,,
20.064,0.57911,4.45505,,,,
20.164,0.67194,8.37996,,,,
20.257,0.75811,13.42175,,,,
20.333,0.82841,18.44977,,,,
20.398,0.88907,23.47074,,,,
20.44,0.92791,26.97684,,,,
20.441,0.92882,27.06203,,,,
