Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.48112"
"0.10000","0.01231","0.59512"
"0.20000","0.05481","0.96157"
"0.30000","0.09109","1.30619"
"0.40000","0.12720","1.67649"
"0.50000","0.16317","2.06424"
"0.60000","0.19938","2.51523"
"0.70000","0.23533","2.98316"
"0.80000","0.27117","3.48975"
"0.90000","0.30707","4.03211"
"1.00000","0.34309","4.61729"
"1.10000","0.37944","5.25712"
"1.20000","0.41535","5.92433"
"1.30000","0.45132","6.64466"
"1.40000","0.48723","7.40703"
"1.50000","0.52310","8.22273"
"1.60000","0.55926","9.09909"
"1.70000","0.59529","10.02667"
"1.80000","0.63120","11.02737"
"1.90000","0.66718","12.06289"
"2.00000","0.70321","13.19981"
"2.10000","0.73931","14.41634"
"2.20000","0.77538","15.69900"
"2.30000","0.81122","17.07685"
"2.40000","0.84711","18.51151"
"2.50000","0.88309","20.04249"
"2.54700","0.90022","20.80763"
"2.54800","0.90058","20.82332"
"2.54900","0.90094","20.83895"
"2.64900","0.89879","20.04990"
"2.74900","0.85935","17.04155"
"2.84900","0.82290","14.63358"
"2.94900","0.78663","12.51649"
"3.04900","0.75051","10.65416"
"3.14900","0.71441","9.00621"
"3.24900","0.67847","7.55088"
"3.34900","0.64244","6.26777"
"3.44900","0.60638","5.15767"
"3.54900","0.57039","4.17987"
"3.64900","0.53438","3.35453"
"3.74900","0.49862","2.66564"
"3.84900","0.46246","2.08236"
"3.94900","0.42649","1.60117"
"4.04900","0.39025","1.21030"
"4.14900","0.35408","0.89364"
"4.24900","0.31853","0.66291"
"4.34900","0.28255","0.48244"
"4.44900","0.24655","0.34222"
"4.54900","0.21040","0.24552"
"4.64900","0.17427","0.18247"
"4.74900","0.13846","0.12602"
"4.84900","0.10253","0.09870"
"4.94900","0.06654","0.08222"
"5.04900","0.03045","0.06760"
"5.13400","-0.00013","0.06998"
"5.13500","-0.00049","0.07034"
"5.13600","-0.00085","0.07073"
"5.23600","0.00058","0.09517"
"5.33600","0.04084","0.10208"
"5.43600","0.07741","0.14287"
"5.53600","0.11363","0.21081"
"5.63600","0.14959","0.28608"
"5.73600","0.18581","0.40229"
"5.83600","0.22184","0.56308"
"5.93600","0.25780","0.77541"
"6.03600","0.29371","1.05376"
"6.13600","0.32969","1.39767"
"6.23600","0.36585","1.82443"
"6.33600","0.40184","2.34545"
"6.43600","0.43786","2.94947"
"6.53600","0.47353","3.66245"
"6.63600","0.50963","4.47185"
"6.73600","0.54565","5.38102"
"6.83600","0.58191","6.40001"
"6.93600","0.61789","7.50757"
"7.03600","0.65378","8.72768"
"7.13600","0.68966","10.04201"
"7.23600","0.72551","11.47667"
"7.33600","0.76179","13.01590"
"7.43600","0.79772","14.62322"
"7.53600","0.83374","16.34129"
"7.63600","0.86970","18.11818"
"7.72100","0.90021","19.68321"
"7.72200","0.90058","19.70146"
"7.72300","0.90094","19.71974"
"7.82300","0.89881","19.14019"
"7.92300","0.85935","16.19906"
"8.02300","0.82290","13.84944"
"8.12300","0.78665","11.76901"
"8.22300","0.75053","9.93479"
"8.32300","0.71439","8.31888"
"8.42300","0.67849","6.91577"
"8.52300","0.64244","5.68353"
"8.62300","0.60638","4.61469"
"8.72300","0.57039","3.68994"
"8.82300","0.53436","2.91469"
"8.92300","0.49862","2.28142"
"9.02300","0.46246","1.74962"
"9.12300","0.42649","1.31648"
"9.22300","0.39027","0.96575"
"9.32300","0.35413","0.70837"
"9.42300","0.31856","0.50494"
"9.52300","0.28255","0.36576"
"9.62300","0.24653","0.25808"
"9.72300","0.21039","0.18126"
"9.82300","0.17428","0.13113"
"9.92300","0.13847","0.11051"
"10.02300","0.10253","0.08395"
"10.12300","0.06657","0.06723"
"10.22300","0.03046","0.06517"
"10.30800","-0.00013","0.07326"
"10.30900","-0.00048","0.07321"
"10.31000","-0.00084","0.07311"
"10.41000","0.00039","0.08042"
"10.51000","0.04077","0.08897"
"10.61000","0.07734","0.11836"
"10.71000","0.11353","0.15746"
"10.81000","0.14950","0.21460"
"10.91000","0.18573","0.29985"
"11.01000","0.22172","0.42551"
"11.11000","0.25769","0.59108"
"11.21000","0.29364","0.80846"
"11.31000","0.32961","1.10272"
"11.41000","0.36574","1.47290"
"11.51000","0.40175","1.92918"
"11.61000","0.43778","2.48868"
"11.71000","0.47341","3.13020"
"11.81000","0.50953","3.90167"
"11.91000","0.54555","4.75838"
"12.01000","0.58180","5.74409"
"12.11000","0.61779","6.84265"
"12.21000","0.65371","8.03880"
"12.31000","0.68957","9.35602"
"12.41000","0.72541","10.77390"
"12.51000","0.76170","12.32787"
"12.61000","0.79765","13.96905"
"12.71000","0.83366","15.71795"
"12.81000","0.86960","17.54881"
"12.89500","0.90012","19.16426"
"12.89600","0.90048","19.18271"
"12.89700","0.90084","19.20116"
"12.99700","0.89871","18.67090"
"13.09700","0.85922","15.76533"
"13.19700","0.82279","13.41887"
"13.29700","0.78654","11.36576"
"13.39700","0.75040","9.55230"
"13.49700","0.71427","7.96361"
"13.59700","0.67838","6.57864"
"13.69700","0.64234","5.36588"
"13.79700","0.60627","4.32411"
"13.89700","0.57026","3.43607"
"13.99700","0.53426","2.69340"
"14.09700","0.49851","2.08242"
"14.19700","0.46235","1.57684"
"14.29700","0.42637","1.17458"
"14.39700","0.39014","0.85670"
"14.49700","0.35401","0.60919"
"14.59700","0.31844","0.43898"
"14.69700","0.28245","0.30815"
"14.79700","0.24643","0.22325"
"14.89700","0.21031","0.16689"
"14.99700","0.17418","0.11684"
