Strain : Tensile strain (Extension) gauge length,100,mm,,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start,High End
0,0,0.31088,854,1141,1309,1399
0.1,0.00937,0.34447,,,,
0.2,0.04464,0.46735,,,,
0.3,0.07641,0.60344,,,,
0.4,0.10771,0.75107,,,,
0.5,0.13887,0.93541,,,,
0.6,0.17022,1.15833,,,,
0.7,0.20151,1.44097,,,,
0.8,0.23274,1.76487,,,,
0.9,0.26367,2.13464,,,,
1,0.29453,2.58362,,,,
1.1,0.32567,3.08698,,,,
1.2,0.35712,3.69221,,,,
1.3,0.38813,4.35382,,,,
1.4,0.41922,5.1153,,,,
1.5,0.45045,5.98286,,,,
1.6,0.48167,6.9638,,,,
1.7,0.51273,8.03336,,,,
1.8,0.5439,9.21826,,,,
1.9,0.57496,10.50558,,,,
2,0.60616,11.91786,,,,
2.1,0.63709,13.45875,,,,
2.2,0.66823,15.12716,,,,
2.3,0.69962,16.91413,,,,
2.4,0.73109,18.83556,,,,
2.5,0.76193,20.86511,,,,
2.6,0.79284,22.98728,,,,
2.7,0.82394,25.22002,,,,
2.8,0.85507,27.58791,,,,
2.9,0.8862,30.06148,,,,
3,0.91767,32.65871,,,,
3.1,0.94887,35.30827,,,,
3.2,0.98002,38.06059,,,,
3.3,1.01086,40.84544,,,,
3.4,1.04183,43.70059,,,,
3.5,1.07305,46.67797,,,,
3.554,1.09019,48.37321,,,,
3.555,1.0905,48.40381,,,,
3.556,1.09082,48.43443,,,,
3.656,1.10093,48.45837,,,,
3.756,1.09845,47.50261,,,,
3.856,1.09776,46.84107,,,,
3.956,1.09743,46.33934,,,,
4.056,1.09725,45.91972,,,,
4.156,1.09715,45.5745,,,,
4.256,1.09706,45.27152,,,,
4.356,1.09706,44.99315,,,,
4.456,1.09706,44.7518,,,,
4.556,1.09706,44.54534,,,,
4.656,1.09706,44.34604,,,,
4.756,1.09706,44.14304,,,,
4.856,1.09706,43.97448,,,,
4.956,1.09706,43.8086,,,,
5.056,1.09706,43.65827,,,,
5.156,1.09706,43.51061,,,,
5.256,1.09706,43.36367,,,,
5.356,1.09706,43.23232,,,,
5.456,1.09706,43.11737,,,,
5.556,1.09706,42.99363,,,,
5.656,1.09706,42.88152,,,,
5.756,1.09703,42.77784,,,,
5.856,1.09697,42.65933,,,,
5.956,1.09697,42.55859,,,,
6.056,1.09697,42.45659,,,,
6.156,1.09697,42.36531,,,,
6.256,1.09697,42.26489,,,,
6.356,1.09697,42.18314,,,,
6.456,1.09697,42.10652,,,,
6.556,1.09697,42.02572,,,,
6.656,1.09697,41.93536,,,,
6.756,1.09697,41.86728,,,,
6.856,1.09697,41.79263,,,,
6.956,1.09697,41.72033,,,,
7.056,1.09697,41.64636,,,,
7.156,1.09697,41.57323,,,,
7.256,1.09697,41.5099,,,,
7.356,1.09697,41.43172,,,,
7.456,1.09697,41.36921,,,,
7.556,1.09697,41.31121,,,,
7.656,1.09697,41.24866,,,,
7.756,1.09697,41.1858,,,,
7.856,1.09697,41.12401,,,,
7.956,1.09697,41.07784,,,,
8.056,1.09697,41.00367,,,,
8.156,1.09697,40.95089,,,,
8.256,1.09697,40.90783,,,,
8.356,1.09697,40.84721,,,,
8.456,1.09697,40.79937,,,,
8.556,1.09697,40.73798,,,,
8.656,1.09697,40.69338,,,,
8.756,1.09697,40.63424,,,,
8.856,1.09697,40.59234,,,,
8.956,1.09697,40.54094,,,,
9.056,1.09697,40.49589,,,,
9.156,1.09697,40.44859,,,,
9.256,1.09697,40.40447,,,,
9.356,1.09697,40.36287,,,,
9.456,1.09697,40.32318,,,,
9.556,1.09697,40.27818,,,,
9.656,1.09697,40.22893,,,,
9.756,1.09697,40.18298,,,,
9.856,1.09697,40.14254,,,,
9.956,1.09697,40.09733,,,,
10.056,1.09697,40.05568,,,,
10.156,1.09697,40.02182,,,,
10.256,1.09697,39.9823,,,,
10.356,1.09697,39.94333,,,,
10.456,1.09697,39.91645,,,,
10.556,1.09697,39.86732,,,,
10.656,1.09697,39.83347,,,,
10.756,1.09697,39.79487,,,,
10.856,1.09697,39.75255,,,,
10.956,1.09697,39.73232,,,,
11.056,1.09697,39.68689,,,,
11.156,1.09697,39.65957,,,,
11.256,1.09697,39.6121,,,,
11.356,1.09697,39.58922,,,,
11.456,1.09697,39.55051,,,,
11.556,1.09697,39.5153,,,,
11.656,1.09697,39.48893,,,,
11.756,1.09697,39.45617,,,,
11.856,1.09697,39.41954,,,,
11.956,1.09697,39.38983,,,,
12.056,1.09697,39.35643,,,,
12.156,1.09697,39.33063,,,,
12.256,1.09697,39.29205,,,,
12.356,1.09697,39.26122,,,,
12.456,1.09697,39.23744,,,,
12.556,1.09697,39.20667,,,,
12.656,1.09697,39.17271,,,,
12.756,1.09697,39.14224,,,,
12.856,1.09697,39.11452,,,,
12.956,1.09697,39.08995,,,,
13.056,1.09697,39.05545,,,,
13.156,1.09697,39.03312,,,,
13.256,1.09697,39.00573,,,,
13.356,1.09697,38.98627,,,,
13.456,1.09697,38.95272,,,,
13.556,1.09697,38.93132,,,,
13.656,1.09697,38.90253,,,,
13.756,1.09697,38.86497,,,,
13.856,1.09697,38.83767,,,,
13.956,1.09697,38.81158,,,,
14.056,1.09697,38.78256,,,,
14.156,1.09697,38.75731,,,,
14.256,1.09697,38.73427,,,,
14.356,1.09697,38.7198,,,,
14.456,1.09697,38.68813,,,,
14.556,1.09697,38.67695,,,,
14.656,1.09697,38.64494,,,,
14.756,1.09697,38.62199,,,,
14.856,1.09697,38.59761,,,,
14.956,1.09697,38.56832,,,,
15.056,1.09697,38.54649,,,,
15.156,1.09697,38.52087,,,,
15.256,1.09697,38.49421,,,,
15.356,1.09697,38.47622,,,,
15.456,1.09697,38.44356,,,,
15.556,1.09697,38.42015,,,,
15.656,1.09697,38.40456,,,,
15.756,1.09697,38.37704,,,,
15.856,1.09697,38.34645,,,,
15.956,1.09697,38.32629,,,,
16.056,1.09697,38.30227,,,,
16.156,1.09697,38.28265,,,,
16.256,1.09697,38.25711,,,,
16.356,1.09697,38.2286,,,,
16.456,1.09697,38.20995,,,,
16.556,1.09697,38.19144,,,,
16.656,1.09697,38.16555,,,,
16.756,1.09697,38.15285,,,,
16.856,1.09697,38.12934,,,,
16.956,1.09697,38.10999,,,,
17.056,1.09697,38.07869,,,,
17.156,1.09697,38.06593,,,,
17.256,1.09697,38.05428,,,,
17.356,1.09697,38.03202,,,,
17.456,1.09697,37.99526,,,,
17.556,1.09697,37.98728,,,,
17.656,1.09697,37.96402,,,,
17.756,1.09697,37.95233,,,,
17.856,1.09697,37.93213,,,,
17.956,1.09697,37.90919,,,,
18.056,1.09697,37.88786,,,,
18.156,1.09697,37.87601,,,,
18.256,1.09697,37.85584,,,,
18.356,1.09697,37.83157,,,,
18.456,1.09697,37.811,,,,
18.556,1.09697,37.79413,,,,
18.656,1.09697,37.76765,,,,
18.756,1.09697,37.7585,,,,
18.856,1.09697,37.73564,,,,
18.956,1.09697,37.71618,,,,
19.056,1.09697,37.70488,,,,
19.156,1.09697,37.68961,,,,
19.256,1.09697,37.66467,,,,
19.356,1.09697,37.64633,,,,
19.456,1.09697,37.63305,,,,
19.556,1.09697,37.61254,,,,
19.656,1.09697,37.60006,,,,
19.756,1.09697,37.58351,,,,
19.856,1.09697,37.5671,,,,
19.956,1.09697,37.54022,,,,
20.056,1.09697,37.53489,,,,
20.156,1.09697,37.49702,,,,
20.256,1.09697,37.48272,,,,
20.356,1.09697,37.48256,,,,
20.456,1.09697,37.45892,,,,
20.556,1.09697,37.44332,,,,
20.656,1.09697,37.42693,,,,
20.756,1.09697,37.41148,,,,
20.856,1.09697,37.39461,,,,
20.956,1.09697,37.37401,,,,
21.056,1.09697,37.36705,,,,
21.156,1.09697,37.34668,,,,
21.256,1.09697,37.3288,,,,
21.356,1.09697,37.31372,,,,
21.456,1.09697,37.29679,,,,
21.556,1.09697,37.27768,,,,
21.656,1.09697,37.26686,,,,
21.756,1.09697,37.252,,,,
21.856,1.09697,37.23174,,,,
21.956,1.09697,37.2255,,,,
22.056,1.09697,37.20098,,,,
22.156,1.09697,37.19029,,,,
22.256,1.09697,37.17793,,,,
22.356,1.09697,37.16137,,,,
22.456,1.09697,37.1379,,,,
22.556,1.09697,37.13508,,,,
22.656,1.09697,37.11132,,,,
22.756,1.09697,37.10464,,,,
22.856,1.09697,37.08414,,,,
22.956,1.09697,37.07815,,,,
23.056,1.09697,37.04856,,,,
23.156,1.09697,37.04796,,,,
23.256,1.09697,37.02539,,,,
23.356,1.09697,37.02197,,,,
23.456,1.09697,37.0014,,,,
23.555,1.09697,36.99242,,,,
23.556,1.09697,36.99211,,,,
23.586,1.09697,36.99356,,,,
23.686,1.08366,35.3916,,,,
23.783,1.04986,30.38811,,,,
23.883,1.01838,26.30979,,,,
23.983,0.98709,22.73158,,,,
24.083,0.95561,19.51786,,,,
24.183,0.92441,16.69875,,,,
24.283,0.89315,14.18484,,,,
24.383,0.86235,11.96934,,,,
24.483,0.83125,9.99041,,,,
24.583,0.79999,8.24357,,,,
24.683,0.76877,6.73055,,,,
24.783,0.73766,5.43502,,,,
24.883,0.70628,4.32237,,,,
24.983,0.67509,3.38004,,,,
25.083,0.64432,2.6218,,,,
25.183,0.61331,2.01582,,,,
25.283,0.58204,1.52683,,,,
25.383,0.55071,1.13975,,,,
25.483,0.51949,0.85293,,,,
25.583,0.48855,0.63127,,,,
25.683,0.4575,0.47301,,,,
25.783,0.4261,0.355,,,,
25.883,0.39514,0.27378,,,,
25.983,0.36413,0.22074,,,,
26.083,0.33277,0.18264,,,,
26.183,0.30164,0.15965,,,,
26.283,0.27067,0.12211,,,,
26.383,0.2396,0.11676,,,,
