Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.24372"
"0.10000","0.01321","0.30090"
"0.20000","0.05223","0.51249"
"0.30000","0.08909","0.74299"
"0.40000","0.12549","1.01590"
"0.50000","0.16145","1.35391"
"0.60000","0.19721","1.74642"
"0.70000","0.23308","2.21726"
"0.80000","0.26902","2.77399"
"0.90000","0.30523","3.41832"
"1.00000","0.34120","4.15003"
"1.10000","0.37702","4.97115"
"1.20000","0.41302","5.88668"
"1.30000","0.44902","6.91699"
"1.40000","0.48519","8.04382"
"1.50000","0.52095","9.28695"
"1.60000","0.55683","10.64140"
"1.70000","0.59271","12.11739"
"1.80000","0.62862","13.72755"
"1.90000","0.66496","15.49017"
"2.00000","0.70095","17.36188"
"2.10000","0.73681","19.38906"
"2.20000","0.77255","21.55667"
"2.30000","0.80838","23.87253"
"2.40000","0.84451","26.36347"
"2.50000","0.88065","29.00740"
"2.60000","0.91664","31.78990"
"2.70000","0.95246","34.70305"
"2.80000","0.98842","37.76226"
"2.90000","1.02435","40.96621"
"3.00000","1.06047","44.29846"
"3.10000","1.09631","47.70379"
"3.20000","1.13221","51.21955"
"3.30000","1.16820","54.82265"
"3.40000","1.20426","58.46112"
"3.50000","1.24046","62.25126"
"3.55200","1.25873","64.19035"
"3.55300","1.25908","64.22816"
"3.55400","1.25943","64.26610"
"3.65400","1.27166","64.64122"
"3.75400","1.26953","63.53527"
"3.85400","1.26802","62.75211"
"3.95400","1.26726","62.18868"
"4.05400","1.26695","61.74837"
"4.15400","1.26691","61.38618"
"4.25400","1.26684","61.07485"
"4.35400","1.26684","60.80405"
"4.45400","1.26684","60.54930"
"4.55400","1.26684","60.32478"
"4.65400","1.26675","60.10517"
"4.75400","1.26675","59.90931"
"4.85400","1.26681","59.72938"
"4.95400","1.26681","59.56621"
"5.05400","1.26681","59.40013"
"5.15400","1.26684","59.25245"
"5.25400","1.26684","59.10675"
"5.35400","1.26684","58.97027"
"5.45400","1.26684","58.83426"
"5.55400","1.26684","58.72090"
"5.65400","1.26684","58.60313"
"5.75400","1.26684","58.48077"
"5.85400","1.26684","58.36943"
"5.95400","1.26684","58.25147"
"6.05400","1.26684","58.16536"
"6.15400","1.26684","58.06893"
"6.25400","1.26684","57.96948"
"6.35400","1.26684","57.87189"
"6.45400","1.26684","57.78414"
"6.55400","1.26684","57.70121"
"6.65400","1.26684","57.61383"
"6.75400","1.26684","57.53730"
"6.85400","1.26684","57.44974"
"6.95400","1.26684","57.37770"
"7.05400","1.26684","57.29847"
"7.15400","1.26684","57.22235"
"7.25400","1.26684","57.15266"
"7.35400","1.26684","57.07671"
"7.45400","1.26684","57.01895"
"7.55400","1.26684","56.93604"
"7.65400","1.26684","56.87716"
"7.75400","1.26684","56.82335"
"7.85400","1.26684","56.75385"
"7.95400","1.26684","56.69407"
"8.05400","1.26684","56.62833"
"8.15400","1.26684","56.56840"
"8.25400","1.26684","56.51120"
"8.35400","1.26684","56.45959"
"8.45400","1.26684","56.40075"
"8.55400","1.26684","56.34081"
"8.65400","1.26684","56.29891"
"8.75400","1.26684","56.24453"
"8.85400","1.26684","56.18703"
"8.95400","1.26684","56.13530"
"9.05400","1.26684","56.09201"
"9.15400","1.26684","56.03510"
"9.25400","1.26684","55.98527"
"9.35400","1.26684","55.93760"
"9.45400","1.26684","55.89197"
"9.55400","1.26684","55.83714"
"9.65400","1.26684","55.79289"
"9.75400","1.26684","55.74986"
"9.85400","1.26684","55.71313"
"9.95400","1.26684","55.66244"
"10.05400","1.26684","55.62531"
"10.15400","1.26684","55.57481"
"10.25400","1.26684","55.53857"
"10.35400","1.26684","55.48969"
"10.45400","1.26684","55.45715"
"10.55400","1.26684","55.41586"
"10.65400","1.26684","55.38066"
"10.75400","1.26684","55.33452"
"10.85400","1.26684","55.30228"
"10.95400","1.26684","55.25645"
"11.05400","1.26684","55.21931"
"11.15400","1.26684","55.18948"
"11.25400","1.26684","55.14929"
"11.35400","1.26684","55.11035"
"11.45400","1.26684","55.07467"
"11.55400","1.26684","55.04623"
"11.65400","1.26684","55.00511"
"11.75400","1.26684","54.96867"
"11.85400","1.26684","54.93628"
"11.95400","1.26684","54.90050"
"12.05400","1.26684","54.87751"
"12.15400","1.26684","54.83401"
"12.25400","1.26684","54.80243"
"12.35400","1.26684","54.76810"
"12.45400","1.26684","54.73863"
"12.55400","1.26684","54.70362"
"12.65400","1.26680","54.67885"
"12.75400","1.26681","54.64931"
"12.85400","1.26682","54.61077"
"12.95400","1.26684","54.58529"
"13.05400","1.26684","54.55643"
"13.15400","1.26684","54.52023"
"13.25400","1.26684","54.49529"
"13.35400","1.26684","54.46241"
"13.45400","1.26684","54.43198"
"13.55400","1.26684","54.40322"
"13.65400","1.26684","54.38283"
"13.75400","1.26684","54.35054"
"13.85400","1.26684","54.31758"
"13.95400","1.26684","54.29221"
"14.05400","1.26684","54.26816"
"14.15400","1.26684","54.24493"
"14.25400","1.26684","54.22055"
"14.35400","1.26684","54.17538"
"14.45400","1.26684","54.16624"
"14.55400","1.26684","54.13781"
"14.65400","1.26684","54.11089"
"14.75400","1.26684","54.08205"
"14.85400","1.26684","54.05298"
"14.95400","1.26684","54.02539"
"15.05400","1.26684","54.00729"
"15.15400","1.26684","53.97616"
"15.25400","1.26684","53.95409"
"15.35400","1.26684","53.93576"
"15.45400","1.26684","53.90584"
"15.55400","1.26684","53.88047"
"15.65400","1.26684","53.85518"
"15.75400","1.26684","53.82782"
"15.85400","1.26684","53.80165"
"15.95400","1.26684","53.77545"
"16.05400","1.26684","53.75843"
"16.15400","1.26684","53.73112"
"16.25400","1.26684","53.71653"
"16.35400","1.26684","53.68512"
"16.45400","1.26684","53.67435"
"16.55400","1.26684","53.64265"
"16.65400","1.26684","53.62682"
"16.75400","1.26684","53.59910"
"16.85400","1.26684","53.57546"
"16.95400","1.26684","53.55871"
"17.05400","1.26684","53.53717"
"17.15400","1.26684","53.51576"
"17.25400","1.26684","53.48981"
"17.35400","1.26684","53.47092"
"17.45400","1.26684","53.44627"
"17.55400","1.26684","53.42165"
"17.65400","1.26684","53.39817"
"17.75400","1.26684","53.38294"
"17.85400","1.26684","53.35848"
"17.95400","1.26684","53.34420"
"18.05400","1.26684","53.32319"
"18.15400","1.26684","53.30057"
"18.25400","1.26684","53.28266"
"18.35400","1.26684","53.26932"
"18.45400","1.26684","53.24053"
"18.55400","1.26684","53.22751"
"18.65400","1.26684","53.20272"
"18.75400","1.26684","53.18808"
"18.85400","1.26684","53.16066"
"18.95400","1.26684","53.14427"
"19.05400","1.26684","53.12432"
"19.15400","1.26684","53.10608"
"19.25400","1.26684","53.09758"
"19.35400","1.26684","53.07178"
"19.45400","1.26684","53.05127"
"19.55400","1.26684","53.03671"
"19.65400","1.26684","53.01563"
"19.75400","1.26684","52.99906"
"19.85400","1.26684","52.98236"
"19.95400","1.26684","52.96576"
"20.05400","1.26684","52.94039"
"20.15400","1.26684","52.92806"
"20.25400","1.26684","52.90152"
"20.35400","1.26684","52.89160"
"20.45400","1.26684","52.86758"
"20.55400","1.26684","52.85502"
"20.65400","1.26684","52.83541"
"20.75400","1.26684","52.81713"
"20.85400","1.26684","52.80138"
"20.95400","1.26684","52.78348"
"21.05400","1.26684","52.76341"
"21.15400","1.26684","52.74775"
"21.25400","1.26684","52.73785"
"21.35400","1.26684","52.71713"
"21.45400","1.26684","52.69656"
"21.55400","1.26684","52.67628"
"21.65400","1.26684","52.66244"
"21.75400","1.26684","52.64513"
"21.85400","1.26684","52.63605"
"21.95400","1.26684","52.61620"
"22.05400","1.26684","52.59636"
"22.15400","1.26684","52.58471"
"22.25400","1.26684","52.56754"
"22.35400","1.26684","52.55433"
"22.45400","1.26684","52.53486"
"22.55400","1.26684","52.52748"
"22.65400","1.26684","52.50471"
"22.75400","1.26684","52.49292"
"22.85400","1.26684","52.47201"
"22.95400","1.26684","52.46030"
"23.05400","1.26684","52.45098"
"23.15400","1.26684","52.42318"
"23.25400","1.26684","52.41657"
"23.35400","1.26684","52.39725"
"23.45400","1.26684","52.38427"
"23.55300","1.26684","52.37179"
"23.55400","1.26684","52.37210"
"23.59000","1.26684","52.36080"
"23.69000","1.25120","50.07807"
"23.77000","1.21732","45.04121"
"23.87000","1.18119","40.20527"
"23.97000","1.14494","35.76802"
"24.07000","1.10905","31.79803"
"24.17000","1.07296","28.15522"
"24.27000","1.03698","24.86990"
"24.37000","1.00105","21.87577"
"24.47000","0.96525","19.16414"
"24.57000","0.92916","16.67337"
"24.67000","0.89306","14.43058"
"24.77000","0.85709","12.42665"
"24.87000","0.82113","10.63225"
"24.97000","0.78551","9.03494"
"25.07000","0.74954","7.62330"
"25.17000","0.71343","6.37791"
"25.27000","0.67734","5.28738"
"25.37000","0.64122","4.34574"
"25.47000","0.60555","3.53221"
"25.57000","0.56960","2.83850"
"25.67000","0.53370","2.24126"
"25.77000","0.49763","1.74370"
"25.87000","0.46157","1.32821"
"25.97000","0.42570","0.99650"
"26.07000","0.38973","0.73308"
"26.17000","0.35376","0.52367"
"26.27000","0.31782","0.36806"
"26.37000","0.28180","0.25151"
"26.47000","0.24603","0.16874"
"26.57000","0.21009","0.10997"
"26.67000","0.17412","0.07818"
"26.77000","0.13799","0.05012"
"26.87000","0.10197","0.04642"
"26.97000","0.06615","0.04359"
"27.07000","0.03038","0.04360"
"27.13200","0.00791","0.03742"
"27.13300","0.00754","0.03755"
"27.13400","0.00718","0.03772"
"27.23400","0.00912","0.05262"
"27.33400","0.04907","0.06483"
"27.43400","0.08573","0.07619"
"27.53400","0.12224","0.10827"
"27.63400","0.15820","0.15051"
"27.73400","0.19402","0.22264"
